type	latitude	longitude	altitude (m)	name
W	49.178112583	-11.228027344	0.0	Px1y1
W	49.178112583	-11.090698242	0.0	Px2y1
W	49.178112583	-10.953369141	0.0	Px3y1
W	49.178112583	-10.816040039	0.0	Px4y1
W	49.178112583	-10.678710938	0.0	Px5y1
W	49.178112583	-10.541381836	0.0	Px6y1
W	49.178112583	-10.404052734	0.0	Px7y1
W	49.178112583	-10.266723633	0.0	Px8y1
W	49.178112583	-10.129394531	0.0	Px9y1
W	49.178112583	-9.992065430	0.0	Px10y1
W	49.178112583	-9.854736328	0.0	Px11y1
W	49.178112583	-9.717407227	0.0	Px12y1
W	49.178112583	-9.580078125	0.0	Px13y1
W	49.178112583	-9.442749023	0.0	Px14y1
W	49.178112583	-9.305419922	0.0	Px15y1
W	49.178112583	-9.168090820	0.0	Px16y1
W	49.178112583	-9.030761719	0.0	Px17y1
W	49.178112583	-8.893432617	0.0	Px18y1
W	49.178112583	-8.756103516	0.0	Px19y1
W	49.178112583	-8.618774414	0.0	Px20y1
W	49.178112583	-8.481445312	0.0	Px21y1
W	49.178112583	-8.344116211	0.0	Px22y1
W	49.178112583	-8.206787109	0.0	Px23y1
W	49.178112583	-8.069458008	0.0	Px24y1
W	49.178112583	-7.932128906	0.0	Px25y1
W	49.178112583	-7.794799805	0.0	Px26y1
W	49.178112583	-7.657470703	0.0	Px27y1
W	49.178112583	-7.520141602	0.0	Px28y1
W	49.178112583	-7.382812500	0.0	Px29y1
W	49.178112583	-7.245483398	0.0	Px30y1
W	49.178112583	-7.108154297	0.0	Px31y1
W	49.088257785	-11.228027344	0.0	Px1y2
W	49.088257785	-11.090698242	0.0	Px2y2
W	49.088257785	-10.953369141	0.0	Px3y2
W	49.088257785	-10.816040039	0.0	Px4y2
W	49.088257785	-10.678710938	0.0	Px5y2
W	49.088257785	-10.541381836	0.0	Px6y2
W	49.088257785	-10.404052734	0.0	Px7y2
W	49.088257785	-10.266723633	0.0	Px8y2
W	49.088257785	-10.129394531	0.0	Px9y2
W	49.088257785	-9.992065430	0.0	Px10y2
W	49.088257785	-9.854736328	0.0	Px11y2
W	49.088257785	-9.717407227	0.0	Px12y2
W	49.088257785	-9.580078125	0.0	Px13y2
W	49.088257785	-9.442749023	0.0	Px14y2
W	49.088257785	-9.305419922	0.0	Px15y2
W	49.088257785	-9.168090820	0.0	Px16y2
W	49.088257785	-9.030761719	0.0	Px17y2
W	49.088257785	-8.893432617	0.0	Px18y2
W	49.088257785	-8.756103516	0.0	Px19y2
W	49.088257785	-8.618774414	0.0	Px20y2
W	49.088257785	-8.481445312	0.0	Px21y2
W	49.088257785	-8.344116211	0.0	Px22y2
W	49.088257785	-8.206787109	0.0	Px23y2
W	49.088257785	-8.069458008	0.0	Px24y2
W	49.088257785	-7.932128906	0.0	Px25y2
W	49.088257785	-7.794799805	0.0	Px26y2
W	49.088257785	-7.657470703	0.0	Px27y2
W	49.088257785	-7.520141602	0.0	Px28y2
W	49.088257785	-7.382812500	0.0	Px29y2
W	49.088257785	-7.245483398	0.0	Px30y2
W	49.088257785	-7.108154297	0.0	Px31y2
W	48.998240081	-11.228027344	0.0	Px1y3
W	48.998240081	-11.090698242	0.0	Px2y3
W	48.998240081	-10.953369141	0.0	Px3y3
W	48.998240081	-10.816040039	0.0	Px4y3
W	48.998240081	-10.678710938	0.0	Px5y3
W	48.998240081	-10.541381836	0.0	Px6y3
W	48.998240081	-10.404052734	0.0	Px7y3
W	48.998240081	-10.266723633	0.0	Px8y3
W	48.998240081	-10.129394531	0.0	Px9y3
W	48.998240081	-9.992065430	0.0	Px10y3
W	48.998240081	-9.854736328	0.0	Px11y3
W	48.998240081	-9.717407227	0.0	Px12y3
W	48.998240081	-9.580078125	0.0	Px13y3
W	48.998240081	-9.442749023	0.0	Px14y3
W	48.998240081	-9.305419922	0.0	Px15y3
W	48.998240081	-9.168090820	0.0	Px16y3
W	48.998240081	-9.030761719	0.0	Px17y3
W	48.998240081	-8.893432617	0.0	Px18y3
W	48.998240081	-8.756103516	0.0	Px19y3
W	48.998240081	-8.618774414	0.0	Px20y3
W	48.998240081	-8.481445312	0.0	Px21y3
W	48.998240081	-8.344116211	0.0	Px22y3
W	48.998240081	-8.206787109	0.0	Px23y3
W	48.998240081	-8.069458008	0.0	Px24y3
W	48.998240081	-7.932128906	0.0	Px25y3
W	48.998240081	-7.794799805	0.0	Px26y3
W	48.998240081	-7.657470703	0.0	Px27y3
W	48.998240081	-7.520141602	0.0	Px28y3
W	48.998240081	-7.382812500	0.0	Px29y3
W	48.998240081	-7.245483398	0.0	Px30y3
W	48.998240081	-7.108154297	0.0	Px31y3
W	48.908059400	-11.228027344	0.0	Px1y4
W	48.908059400	-11.090698242	0.0	Px2y4
W	48.908059400	-10.953369141	0.0	Px3y4
W	48.908059400	-10.816040039	0.0	Px4y4
W	48.908059400	-10.678710938	0.0	Px5y4
W	48.908059400	-10.541381836	0.0	Px6y4
W	48.908059400	-10.404052734	0.0	Px7y4
W	48.908059400	-10.266723633	0.0	Px8y4
W	48.908059400	-10.129394531	0.0	Px9y4
W	48.908059400	-9.992065430	0.0	Px10y4
W	48.908059400	-9.854736328	0.0	Px11y4
W	48.908059400	-9.717407227	0.0	Px12y4
W	48.908059400	-9.580078125	0.0	Px13y4
W	48.908059400	-9.442749023	0.0	Px14y4
W	48.908059400	-9.305419922	0.0	Px15y4
W	48.908059400	-9.168090820	0.0	Px16y4
W	48.908059400	-9.030761719	0.0	Px17y4
W	48.908059400	-8.893432617	0.0	Px18y4
W	48.908059400	-8.756103516	0.0	Px19y4
W	48.908059400	-8.618774414	0.0	Px20y4
W	48.908059400	-8.481445312	0.0	Px21y4
W	48.908059400	-8.344116211	0.0	Px22y4
W	48.908059400	-8.206787109	0.0	Px23y4
W	48.908059400	-8.069458008	0.0	Px24y4
W	48.908059400	-7.932128906	0.0	Px25y4
W	48.908059400	-7.794799805	0.0	Px26y4
W	48.908059400	-7.657470703	0.0	Px27y4
W	48.908059400	-7.520141602	0.0	Px28y4
W	48.908059400	-7.382812500	0.0	Px29y4
W	48.908059400	-7.245483398	0.0	Px30y4
W	48.908059400	-7.108154297	0.0	Px31y4
W	48.817715669	-11.228027344	0.0	Px1y5
W	48.817715669	-11.090698242	0.0	Px2y5
W	48.817715669	-10.953369141	0.0	Px3y5
W	48.817715669	-10.816040039	0.0	Px4y5
W	48.817715669	-10.678710938	0.0	Px5y5
W	48.817715669	-10.541381836	0.0	Px6y5
W	48.817715669	-10.404052734	0.0	Px7y5
W	48.817715669	-10.266723633	0.0	Px8y5
W	48.817715669	-10.129394531	0.0	Px9y5
W	48.817715669	-9.992065430	0.0	Px10y5
W	48.817715669	-9.854736328	0.0	Px11y5
W	48.817715669	-9.717407227	0.0	Px12y5
W	48.817715669	-9.580078125	0.0	Px13y5
W	48.817715669	-9.442749023	0.0	Px14y5
W	48.817715669	-9.305419922	0.0	Px15y5
W	48.817715669	-9.168090820	0.0	Px16y5
W	48.817715669	-9.030761719	0.0	Px17y5
W	48.817715669	-8.893432617	0.0	Px18y5
W	48.817715669	-8.756103516	0.0	Px19y5
W	48.817715669	-8.618774414	0.0	Px20y5
W	48.817715669	-8.481445312	0.0	Px21y5
W	48.817715669	-8.344116211	0.0	Px22y5
W	48.817715669	-8.206787109	0.0	Px23y5
W	48.817715669	-8.069458008	0.0	Px24y5
W	48.817715669	-7.932128906	0.0	Px25y5
W	48.817715669	-7.794799805	0.0	Px26y5
W	48.817715669	-7.657470703	0.0	Px27y5
W	48.817715669	-7.520141602	0.0	Px28y5
W	48.817715669	-7.382812500	0.0	Px29y5
W	48.817715669	-7.245483398	0.0	Px30y5
W	48.817715669	-7.108154297	0.0	Px31y5
W	48.727208819	-11.228027344	0.0	Px1y6
W	48.727208819	-11.090698242	0.0	Px2y6
W	48.727208819	-10.953369141	0.0	Px3y6
W	48.727208819	-10.816040039	0.0	Px4y6
W	48.727208819	-10.678710938	0.0	Px5y6
W	48.727208819	-10.541381836	0.0	Px6y6
W	48.727208819	-10.404052734	0.0	Px7y6
W	48.727208819	-10.266723633	0.0	Px8y6
W	48.727208819	-10.129394531	0.0	Px9y6
W	48.727208819	-9.992065430	0.0	Px10y6
W	48.727208819	-9.854736328	0.0	Px11y6
