This is Dataplot data file     HAZE.DAT
Precption of layered haze as function of contrast value of slide
Question: Is there a non-linear relationship?
   
Source--Graybill and Iyer (1994). Regression Analysis: Concepts and 
        Applications.  Duxbury Press.
        Page 624 (Chapter 9)
Number of observations = 8
Number of variables per line image = 2
Order of variables on a line image--
   1. Y  = Response Variable = Proportion of Time Subject Reported
          Prescence of Layered Haze
   2. X  = Independent Variable = Contrast Value of Slide








To read this file into Dataplot--
   SKIP 25
   READ HAZE.DAT Y X
---------------------
  0.34  0.000
  0.44  0.005
  0.50  0.008
  0.59  0.012
  0.72  0.015
  0.93  0.020
  0.99  0.030
  1.00  0.040
