This is Dataplot data file     TABLE324.DAT
Score on stanardized calculus test versus hours spent studying
SUbset of GRADES.DAT data file.
Question: Is there a straight line relationship?

Source--Graybill and Iyer (1994). Regression Analysis: Concepts and 
        Applications.  Duxbury Press.
        Page 109 (Chapter 3)
Number of observations = 10
Number of variables per line image = 2
Order of variables on a line image--
   1. Y  = Response Variable = Score on standardized Calculus test
   2. X  = Independent Variable = Hours spent studying







To read this file into Dataplot--
   SKIP 25
   READ TABLE324.DAT Y X
   X   Y
----------------------------
  41   1
  59   4
  90  11
  88  11
  52   2
  53   2
  53   1
  63   5
  87  10
  74   8
