Embarked=C,Embarked=Q,Embarked=S,PassengerId,Survived
0.0,0.0,1.0,1,0
1.0,0.0,0.0,2,1
0.0,0.0,1.0,3,1
0.0,0.0,1.0,4,1
0.0,0.0,1.0,5,0
0.0,0.0,1.0,7,0
0.0,0.0,1.0,8,0
0.0,0.0,1.0,9,1
1.0,0.0,0.0,10,1
0.0,0.0,1.0,11,1
0.0,0.0,1.0,12,1
0.0,0.0,1.0,13,0
0.0,0.0,1.0,14,0
0.0,0.0,1.0,15,0
0.0,0.0,1.0,16,1
0.0,1.0,0.0,17,0
0.0,0.0,1.0,19,0
0.0,0.0,1.0,21,0
0.0,0.0,1.0,22,1
0.0,1.0,0.0,23,1
0.0,0.0,1.0,24,1
0.0,0.0,1.0,25,0
0.0,0.0,1.0,26,1
0.0,0.0,1.0,28,0
1.0,0.0,0.0,31,0
0.0,0.0,1.0,34,0
1.0,0.0,0.0,35,0
0.0,0.0,1.0,36,0
0.0,0.0,1.0,38,0
0.0,0.0,1.0,39,0
1.0,0.0,0.0,40,1
0.0,0.0,1.0,41,0
0.0,0.0,1.0,42,0
1.0,0.0,0.0,44,1
0.0,1.0,0.0,45,1
0.0,0.0,1.0,50,0
0.0,0.0,1.0,51,0
0.0,0.0,1.0,52,0
1.0,0.0,0.0,53,1
0.0,0.0,1.0,54,1
1.0,0.0,0.0,55,0
0.0,0.0,1.0,57,1
1.0,0.0,0.0,58,0
0.0,0.0,1.0,59,1
0.0,0.0,1.0,60,0
1.0,0.0,0.0,61,0
0.0,0.0,1.0,63,0
0.0,0.0,1.0,64,0
0.0,0.0,1.0,67,1
0.0,0.0,1.0,68,0
0.0,0.0,1.0,69,1
0.0,0.0,1.0,70,0
0.0,0.0,1.0,71,0
0.0,0.0,1.0,72,0
0.0,0.0,1.0,73,0
1.0,0.0,0.0,74,0
0.0,0.0,1.0,75,1
0.0,0.0,1.0,76,0
0.0,0.0,1.0,79,1
0.0,0.0,1.0,80,1
0.0,0.0,1.0,81,0
0.0,0.0,1.0,82,1
0.0,0.0,1.0,84,0
0.0,0.0,1.0,85,1
0.0,0.0,1.0,86,1
0.0,0.0,1.0,87,0
0.0,0.0,1.0,89,1
0.0,0.0,1.0,90,0
0.0,0.0,1.0,91,0
0.0,0.0,1.0,92,0
0.0,0.0,1.0,93,0
0.0,0.0,1.0,94,0
0.0,0.0,1.0,95,0
1.0,0.0,0.0,97,0
1.0,0.0,0.0,98,1
0.0,0.0,1.0,99,1
0.0,0.0,1.0,100,0
0.0,0.0,1.0,101,0
0.0,0.0,1.0,103,0
0.0,0.0,1.0,104,0
0.0,0.0,1.0,105,0
0.0,0.0,1.0,106,0
0.0,0.0,1.0,107,1
0.0,0.0,1.0,109,0
0.0,0.0,1.0,111,0
1.0,0.0,0.0,112,0
0.0,0.0,1.0,113,0
0.0,0.0,1.0,114,0
1.0,0.0,0.0,115,0
0.0,0.0,1.0,116,0
0.0,1.0,0.0,117,0
0.0,0.0,1.0,118,0
1.0,0.0,0.0,119,0
0.0,0.0,1.0,120,0
0.0,0.0,1.0,121,0
1.0,0.0,0.0,123,0
0.0,0.0,1.0,124,1
0.0,0.0,1.0,125,0
1.0,0.0,0.0,126,1
0.0,0.0,1.0,128,1
0.0,0.0,1.0,130,0
1.0,0.0,0.0,131,0
0.0,0.0,1.0,132,0
0.0,0.0,1.0,133,0
