Fare,Pclass,PassengerId,Survived
7.25,3.0,1,0
71.2833,1.0,2,1
7.925,3.0,3,1
53.1,1.0,4,1
8.05,3.0,5,0
51.8625,1.0,7,0
21.075,3.0,8,0
11.1333,3.0,9,1
30.0708,2.0,10,1
16.7,3.0,11,1
26.55,1.0,12,1
8.05,3.0,13,0
31.275,3.0,14,0
7.8542,3.0,15,0
16.0,2.0,16,1
29.125,3.0,17,0
18.0,3.0,19,0
26.0,2.0,21,0
13.0,2.0,22,1
8.0292,3.0,23,1
35.5,1.0,24,1
21.075,3.0,25,0
31.3875,3.0,26,1
263.0,1.0,28,0
27.7208,1.0,31,0
10.5,2.0,34,0
82.1708,1.0,35,0
52.0,1.0,36,0
8.05,3.0,38,0
18.0,3.0,39,0
11.2417,3.0,40,1
9.475,3.0,41,0
21.0,2.0,42,0
41.5792,2.0,44,1
7.8792,3.0,45,1
17.8,3.0,50,0
39.6875,3.0,51,0
7.8,3.0,52,0
76.7292,1.0,53,1
26.0,2.0,54,1
61.9792,1.0,55,0
10.5,2.0,57,1
7.2292,3.0,58,0
27.75,2.0,59,1
46.9,3.0,60,0
7.2292,3.0,61,0
83.475,1.0,63,0
27.9,3.0,64,0
10.5,2.0,67,1
8.1583,3.0,68,0
7.925,3.0,69,1
8.6625,3.0,70,0
10.5,2.0,71,0
46.9,3.0,72,0
73.5,2.0,73,0
14.4542,3.0,74,0
56.4958,3.0,75,1
7.65,3.0,76,0
29.0,2.0,79,1
12.475,3.0,80,1
9.0,3.0,81,0
9.5,3.0,82,1
47.1,1.0,84,0
10.5,2.0,85,1
15.85,3.0,86,1
34.375,3.0,87,0
263.0,1.0,89,1
8.05,3.0,90,0
8.05,3.0,91,0
7.8542,3.0,92,0
61.175,1.0,93,0
20.575,3.0,94,0
7.25,3.0,95,0
34.6542,1.0,97,0
63.3583,1.0,98,1
23.0,2.0,99,1
26.0,2.0,100,0
7.8958,3.0,101,0
77.2875,1.0,103,0
8.6542,3.0,104,0
7.925,3.0,105,0
7.8958,3.0,106,0
7.65,3.0,107,1
7.8958,3.0,109,0
52.0,1.0,111,0
14.4542,3.0,112,0
8.05,3.0,113,0
9.825,3.0,114,0
14.4583,3.0,115,0
7.925,3.0,116,0
7.75,3.0,117,0
21.0,2.0,118,0
247.5208,1.0,119,0
31.275,3.0,120,0
73.5,2.0,121,0
30.0708,2.0,123,0
13.0,2.0,124,1
77.2875,1.0,125,0
11.2417,3.0,126,1
7.1417,3.0,128,1
6.975,3.0,130,0
7.8958,3.0,131,0
7.05,3.0,132,0
14.5,3.0,133,0
26.0,2.0,134,1
13.0,2.0,135,0
15.0458,2.0,136,0
26.2833,1.0,137,1
53.1,1.0,138,0
9.2167,3.0,139,0
79.2,1.0,140,0
7.75,3.0,142,1
15.85,3.0,143,1
6.75,3.0,144,0
11.5,2.0,145,0
36.75,2.0,146,0
7.7958,3.0,147,1
34.375,3.0,148,0
26.0,2.0,149,0
13.0,2.0,150,0
12.525,2.0,151,0
66.6,1.0,152,1
8.05,3.0,153,0
14.5,3.0,154,0
61.3792,1.0,156,0
7.7333,3.0,157,1
8.05,3.0,158,0
16.1,3.0,161,0
15.75,2.0,162,1
7.775,3.0,163,0
8.6625,3.0,164,0
39.6875,3.0,165,0
20.525,3.0,166,1
27.9,3.0,168,0
56.4958,3.0,170,0
33.5,1.0,171,0
29.125,3.0,172,0
11.1333,3.0,173,1
7.925,3.0,174,0
30.6958,1.0,175,0
7.8542,3.0,176,0
28.7125,1.0,178,0
13.0,2.0,179,0
0.0,3.0,180,0
31.3875,3.0,183,0
39.0,2.0,184,1
22.025,3.0,185,1
26.55,1.0,188,1
15.5,3.0,189,0
7.8958,3.0,190,0
13.0,2.0,191,1
13.0,2.0,192,0
7.8542,3.0,193,1
26.0,2.0,194,1
27.7208,1.0,195,1
146.5208,1.0,196,1
8.4042,3.0,198,0
13.0,2.0,200,0
9.5,3.0,201,0
6.4958,3.0,203,0
7.225,3.0,204,0
8.05,3.0,205,1
10.4625,3.0,206,0
15.85,3.0,207,0
18.7875,3.0,208,1
7.75,3.0,209,1
31.0,1.0,210,1
7.05,3.0,211,0
21.0,2.0,212,1
7.25,3.0,213,0
13.0,2.0,214,0
113.275,1.0,216,1
7.925,3.0,217,1
27.0,2.0,218,0
76.2917,1.0,219,1
10.5,2.0,220,0
8.05,3.0,221,1
13.0,2.0,222,0
8.05,3.0,223,0
90.0,1.0,225,1
9.35,3.0,226,0
10.5,2.0,227,1
7.25,3.0,228,0
13.0,2.0,229,0
83.475,1.0,231,1
7.775,3.0,232,0
13.5,2.0,233,0
31.3875,3.0,234,1
10.5,2.0,235,0
26.0,2.0,237,0
26.25,2.0,238,1
10.5,2.0,239,0
12.275,2.0,240,0
10.5,2.0,243,0
7.125,3.0,244,0
7.225,3.0,245,0
90.0,1.0,246,0
7.775,3.0,247,0
14.5,2.0,248,1
52.5542,1.0,249,1
26.0,2.0,250,0
10.4625,3.0,252,0
26.55,1.0,253,0
16.1,3.0,254,0
