BW, SF, SNR, PS, BER
10400,7,-40,70,0.0585714
10400,7,-40,140,0.0514294
10400,7,-40,210,0.0519054
10400,7,-40,280,0.0453574
10400,7,-40,350,0.0505714
10400,7,-40,420,0.0450004
10400,7,-40,490,0.0442864
10400,7,-40,560,0.0525004
10400,7,-40,630,0.0526984
10400,7,-40,700,0.0525714
10400,7,-30,70,0.0471434
10400,7,-30,140,0.0492864
10400,7,-30,210,0.0471434
10400,7,-30,280,0.0514294
10400,7,-30,350,0.0525714
10400,7,-30,420,0.0485714
10400,7,-30,490,0.0522454
10400,7,-30,560,0.0500004
10400,7,-30,630,0.0449214
10400,7,-30,700,0.0478574
10400,7,-20,70,0.0542864
10400,7,-20,140,0.0357144
10400,7,-20,210,0.0457144
10400,7,-20,280,0.0432144
10400,7,-20,350,0.0437144
10400,7,-20,420,0.0485714
10400,7,-20,490,0.0442864
10400,7,-20,560,0.0442864
10400,7,-20,630,0.0466674
10400,7,-20,700,0.0415714
10400,7,-10,70,0.0000004
10400,7,-10,140,0.0028574
10400,7,-10,210,0.0004764
10400,7,-10,280,0.0010714
10400,7,-10,350,0.0008574
10400,7,-10,420,0.0019054
10400,7,-10,490,0.0000004
10400,7,-10,560,0.0028574
10400,7,-10,630,0.0011114
10400,7,-10,700,0.0015714
10400,7,0,70,0.0000004
10400,7,0,140,0.0000004
10400,7,0,210,0.0000004
10400,7,0,280,0.0000004
10400,7,0,350,0.0000004
10400,7,0,420,0.0000004
10400,7,0,490,0.0000004
10400,7,0,560,0.0000004
10400,7,0,630,0.0000004
10400,7,0,700,0.0000004
10400,8,-40,80,0.0437504
10400,8,-40,160,0.0475004
10400,8,-40,240,0.0512504
10400,8,-40,320,0.0490624
10400,8,-40,400,0.0475004
10400,8,-40,480,0.0485424
10400,8,-40,560,0.0492864
10400,8,-40,640,0.0517194
10400,8,-40,720,0.0490284
10400,8,-40,800,0.0488754
10400,8,-30,80,0.0475004
10400,8,-30,160,0.0456254
10400,8,-30,240,0.0508334
10400,8,-30,320,0.0543754
10400,8,-30,400,0.0507504
10400,8,-30,480,0.0527084
10400,8,-30,560,0.0455364
10400,8,-30,640,0.0489064
10400,8,-30,720,0.0490284
10400,8,-30,800,0.0475004
10400,8,-20,80,0.0462504
10400,8,-20,160,0.0387504
10400,8,-20,240,0.0358334
10400,8,-20,320,0.0443754
10400,8,-20,400,0.0360004
10400,8,-20,480,0.0406254
