"norm","exp","weibull","lnorm","gamma","logis","cauchy","gumbel","binom","triang","empirical"
1,1,1,1,1,1,0.9949,1,1,1,0.6151
1,1,1,1,1,1,0.9948,1,1,1,0.6022
1,1,1,1,1,1,0.9955,1,1,1,0.86
1,0.9997,0.9997,0.9812,0.9997,0.9997,0.9604,0.9991,1,1,0.4604
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9955,1,1,1,0.86
1,1,1,1,1,1,0.9955,1,1,1,0.86
1,1,1,1,1,1,0.9948,1,1,1,0.6022
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9953,1,1,1,0.744
1,1,1,1,1,1,0.9955,1,1,1,0.86
1,1,1,1,1,1,0.995,1,1,1,0.6317
0.8413,0.6321,0.6321,0.5,0.6321,0.7311,0.75,0.3679,0.75,1,0.4199
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9955,1,1,1,0.8158
1,1,1,1,1,1,0.9952,1,1,1,0.6759
1,1,1,1,1,1,0.9947,1,1,1,0.582
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.4438
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9956,1,1,1,0.8858
1,1,1,1,1,1,0.9955,1,1,1,0.86
1,1,1,1,1,1,0.9954,1,1,1,0.7845
0.8413,0.6321,0.6321,0.5,0.6321,0.7311,0.75,0.3679,0.75,1,0.4199
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9956,1,1,1,0.8858
1,1,1,1,1,1,0.9952,1,1,1,0.7053
1,1,1,1,1,1,0.9949,1,1,1,0.6059
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.4438
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9952,1,1,1,0.7053
1,1,1,1,1,1,0.994,1,1,1,0.5433
1,1,1,1,1,1,0.9954,1,1,1,0.7845
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9958,1,1,1,0.9595
1,1,1,1,1,1,0.9953,1,1,1,0.744
1,1,1,1,1,1,0.9941,1,1,1,0.5451
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9956,1,1,1,0.8858
1,1,1,1,1,1,0.9956,1,1,1,0.9208
1,1,1,1,1,1,0.9939,1,1,1,0.5414
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9952,1,1,1,0.6759
1,1,1,1,1,1,0.9955,1,1,1,0.86
1,1,1,1,1,1,0.9945,1,1,1,0.5617
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9956,1,1,1,0.9208
1,1,1,1,1,1,0.9958,1,1,1,0.9779
1,1,1,1,1,1,0.9944,1,1,1,0.5562
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9956,1,1,1,0.8858
1,1,1,1,1,1,0.9954,1,1,1,0.7845
1,1,1,1,1,1,0.9951,1,1,1,0.6501
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9948,1,1,1,0.6022
1,1,1,1,1,1,0.9944,1,1,1,0.5562
1,1,1,1,1,1,0.9948,1,1,1,0.6022
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9951,1,1,1,0.6501
1,1,1,1,1,1,0.9958,1,1,1,0.9595
1,1,1,0.9999,1,1,0.9932,1,1,1,0.5341
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9952,1,1,1,0.7053
1,1,1,1,1,1,0.9955,1,1,1,0.8158
1,1,1,0.9999,1,1,0.9931,1,1,1,0.5304
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9952,1,1,1,0.6759
1,1,1,1,1,1,0.9953,1,1,1,0.744
1,1,1,0.9999,1,1,0.9918,1,1,1,0.5083
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9956,1,1,1,0.9208
1,1,1,1,1,1,0.9954,1,1,1,0.7845
1,1,1,0.9999,1,1,0.992,1,1,1,0.5101
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9956,1,1,1,0.8858
1,1,1,1,1,1,0.9955,1,1,1,0.86
1,1,1,0.9999,1,1,0.9924,1,1,1,0.5138
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9955,1,1,1,0.8158
1,1,1,1,1,1,0.9957,1,1,1,0.9429
1,1,1,0.9958,1,1,0.9773,1,1,1,0.4733
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9953,1,1,1,0.744
1,1,1,1,1,1,0.995,1,1,1,0.6317
1,1,1,0.9893,1,1,0.9683,0.9999,1,1,0.4641
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9955,1,1,1,0.8158
1,1,1,1,1,1,0.9952,1,1,1,0.6759
1,1,1,0.9986,1,1,0.9841,1,1,1,0.4991
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9955,1,1,1,0.8158
1,1,1,1,1,1,0.9953,1,1,1,0.744
1,1,1,0.9977,1,1,0.9813,1,1,1,0.488
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9954,1,1,1,0.7845
1,1,1,1,1,1,0.9952,1,1,1,0.7053
1,1,1,0.9966,1,1,0.9788,1,1,1,0.477
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9957,1,1,1,0.9429
1,1,1,1,1,1,0.9958,1,1,1,0.9779
1,1,1,0.9986,1,1,0.9841,1,1,1,0.4991
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9955,1,1,1,0.86
1,1,1,1,1,1,0.9957,1,1,1,0.9429
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9956,1,1,1,0.9208
1,1,1,1,1,1,0.995,1,1,1,0.6317
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9955,1,1,1,0.8158
1,1,1,1,1,1,0.9952,1,1,1,0.6759
1,1,1,0.9918,1,1,0.9711,1,1,1,0.4659
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
1,1,1,1,1,1,0.9957,1,1,1,0.9429
1,1,1,1,1,1,0.9953,1,1,1,0.744
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.4107
