"norm","exp","weibull","lnorm","gamma","logis","cauchy","gumbel","binom","triang","empirical"
0.9772,0.8647,0.8647,0.7559,0.8647,0.8808,0.8524,0.6922,1,1,0.2449
0.9772,0.8647,0.8647,0.7559,0.8647,0.8808,0.8524,0.6922,1,1,0.2449
0.9772,0.8647,0.8647,0.7559,0.8647,0.8808,0.8524,0.6922,1,1,0.2449
0.9772,0.8647,0.8647,0.7559,0.8647,0.8808,0.8524,0.6922,1,1,0.2449
0.9772,0.8647,0.8647,0.7559,0.8647,0.8808,0.8524,0.6922,1,1,0.2449
0.9772,0.8647,0.8647,0.7559,0.8647,0.8808,0.8524,0.6922,1,1,0.2449
0.9772,0.8647,0.8647,0.7559,0.8647,0.8808,0.8524,0.6922,1,1,0.2449
0.9772,0.8647,0.8647,0.7559,0.8647,0.8808,0.8524,0.6922,1,1,0.2449
0.9772,0.8647,0.8647,0.7559,0.8647,0.8808,0.8524,0.6922,1,1,0.2449
0.9772,0.8647,0.8647,0.7559,0.8647,0.8808,0.8524,0.6922,1,1,0.2449
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
0.9987,0.9502,0.9502,0.864,0.9502,0.9526,0.8976,0.8734,1,1,0.337
1,0.9817,0.9817,0.9172,0.9817,0.982,0.922,0.9514,1,1,0.3831
1,0.9817,0.9817,0.9172,0.9817,0.982,0.922,0.9514,1,1,0.3831
1,0.9817,0.9817,0.9172,0.9817,0.982,0.922,0.9514,1,1,0.3831
1,0.9817,0.9817,0.9172,0.9817,0.982,0.922,0.9514,1,1,0.3831
1,0.9817,0.9817,0.9172,0.9817,0.982,0.922,0.9514,1,1,0.3831
1,0.9817,0.9817,0.9172,0.9817,0.982,0.922,0.9514,1,1,0.3831
1,0.9817,0.9817,0.9172,0.9817,0.982,0.922,0.9514,1,1,0.3831
1,0.9817,0.9817,0.9172,0.9817,0.982,0.922,0.9514,1,1,0.3831
1,0.9817,0.9817,0.9172,0.9817,0.982,0.922,0.9514,1,1,0.3831
1,0.9817,0.9817,0.9172,0.9817,0.982,0.922,0.9514,1,1,0.3831
1,0.9933,0.9933,0.9462,0.9933,0.9933,0.9372,0.9819,1,1,0.4291
1,0.9933,0.9933,0.9462,0.9933,0.9933,0.9372,0.9819,1,1,0.4291
1,0.9933,0.9933,0.9462,0.9933,0.9933,0.9372,0.9819,1,1,0.4291
1,0.9933,0.9933,0.9462,0.9933,0.9933,0.9372,0.9819,1,1,0.4291
1,0.9933,0.9933,0.9462,0.9933,0.9933,0.9372,0.9819,1,1,0.4291
1,0.9933,0.9933,0.9462,0.9933,0.9933,0.9372,0.9819,1,1,0.4291
1,0.9933,0.9933,0.9462,0.9933,0.9933,0.9372,0.9819,1,1,0.4291
1,0.9933,0.9933,0.9462,0.9933,0.9933,0.9372,0.9819,1,1,0.4291
1,0.9933,0.9933,0.9462,0.9933,0.9933,0.9372,0.9819,1,1,0.4291
1,0.9933,0.9933,0.9462,0.9933,0.9933,0.9372,0.9819,1,1,0.4291
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.4936
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.4936
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.4936
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.4936
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.4936
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.4936
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.4936
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.4936
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.4936
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.4936
1,0.9991,0.9991,0.9742,0.9991,0.9991,0.9548,0.9975,1,1,0.5212
1,0.9991,0.9991,0.9742,0.9991,0.9991,0.9548,0.9975,1,1,0.5212
1,0.9991,0.9991,0.9742,0.9991,0.9991,0.9548,0.9975,1,1,0.5212
1,0.9991,0.9991,0.9742,0.9991,0.9991,0.9548,0.9975,1,1,0.5212
1,0.9991,0.9991,0.9742,0.9991,0.9991,0.9548,0.9975,1,1,0.5212
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,1,1,0.9893,1,1,0.9683,0.9999,1,1,0.6041
1,1,1,0.9893,1,1,0.9683,0.9999,1,1,0.6041
