type	latitude	longitude	altitude (m)	name
W	16.675662043	-61.973876953	0.0	Px1y1
W	16.675662043	-61.939544678	0.0	Px2y1
W	16.675662043	-61.905212402	0.0	Px3y1
W	16.675662043	-61.870880127	0.0	Px4y1
W	16.675662043	-61.836547852	0.0	Px5y1
W	16.675662043	-61.802215576	0.0	Px6y1
W	16.675662043	-61.767883301	0.0	Px7y1
W	16.675662043	-61.733551025	0.0	Px8y1
W	16.675662043	-61.699218750	0.0	Px9y1
W	16.675662043	-61.664886475	0.0	Px10y1
W	16.675662043	-61.630554199	0.0	Px11y1
W	16.675662043	-61.596221924	0.0	Px12y1
W	16.675662043	-61.561889648	0.0	Px13y1
W	16.675662043	-61.527557373	0.0	Px14y1
W	16.675662043	-61.493225098	0.0	Px15y1
W	16.675662043	-61.458892822	0.0	Px16y1
W	16.675662043	-61.424560547	0.0	Px17y1
W	16.675662043	-61.390228271	0.0	Px18y1
W	16.675662043	-61.355895996	0.0	Px19y1
W	16.675662043	-61.321563721	0.0	Px20y1
W	16.675662043	-61.287231445	0.0	Px21y1
W	16.675662043	-61.252899170	0.0	Px22y1
W	16.675662043	-61.218566895	0.0	Px23y1
W	16.675662043	-61.184234619	0.0	Px24y1
W	16.675662043	-61.149902344	0.0	Px25y1
W	16.675662043	-61.115570068	0.0	Px26y1
W	16.675662043	-61.081237793	0.0	Px27y1
W	16.675662043	-61.046905518	0.0	Px28y1
W	16.675662043	-61.012573242	0.0	Px29y1
W	16.675662043	-60.978240967	0.0	Px30y1
W	16.675662043	-60.943908691	0.0	Px31y1
W	16.642770804	-61.973876953	0.0	Px1y2
W	16.642770804	-61.939544678	0.0	Px2y2
W	16.642770804	-61.905212402	0.0	Px3y2
W	16.642770804	-61.870880127	0.0	Px4y2
W	16.642770804	-61.836547852	0.0	Px5y2
W	16.642770804	-61.802215576	0.0	Px6y2
W	16.642770804	-61.767883301	0.0	Px7y2
W	16.642770804	-61.733551025	0.0	Px8y2
W	16.642770804	-61.699218750	0.0	Px9y2
W	16.642770804	-61.664886475	0.0	Px10y2
W	16.642770804	-61.630554199	0.0	Px11y2
W	16.642770804	-61.596221924	0.0	Px12y2
W	16.642770804	-61.561889648	0.0	Px13y2
W	16.642770804	-61.527557373	0.0	Px14y2
W	16.642770804	-61.493225098	0.0	Px15y2
W	16.642770804	-61.458892822	0.0	Px16y2
W	16.642770804	-61.424560547	0.0	Px17y2
W	16.642770804	-61.390228271	0.0	Px18y2
W	16.642770804	-61.355895996	0.0	Px19y2
W	16.642770804	-61.321563721	0.0	Px20y2
W	16.642770804	-61.287231445	0.0	Px21y2
W	16.642770804	-61.252899170	0.0	Px22y2
W	16.642770804	-61.218566895	0.0	Px23y2
W	16.642770804	-61.184234619	0.0	Px24y2
W	16.642770804	-61.149902344	0.0	Px25y2
W	16.642770804	-61.115570068	0.0	Px26y2
W	16.642770804	-61.081237793	0.0	Px27y2
W	16.642770804	-61.046905518	0.0	Px28y2
W	16.642770804	-61.012573242	0.0	Px29y2
W	16.642770804	-60.978240967	0.0	Px30y2
W	16.642770804	-60.943908691	0.0	Px31y2
W	16.609873920	-61.973876953	0.0	Px1y3
W	16.609873920	-61.939544678	0.0	Px2y3
W	16.609873920	-61.905212402	0.0	Px3y3
W	16.609873920	-61.870880127	0.0	Px4y3
W	16.609873920	-61.836547852	0.0	Px5y3
W	16.609873920	-61.802215576	0.0	Px6y3
W	16.609873920	-61.767883301	0.0	Px7y3
W	16.609873920	-61.733551025	0.0	Px8y3
W	16.609873920	-61.699218750	0.0	Px9y3
W	16.609873920	-61.664886475	0.0	Px10y3
W	16.609873920	-61.630554199	0.0	Px11y3
W	16.609873920	-61.596221924	0.0	Px12y3
W	16.609873920	-61.561889648	0.0	Px13y3
W	16.609873920	-61.527557373	0.0	Px14y3
W	16.609873920	-61.493225098	0.0	Px15y3
W	16.609873920	-61.458892822	0.0	Px16y3
W	16.609873920	-61.424560547	0.0	Px17y3
W	16.609873920	-61.390228271	0.0	Px18y3
W	16.609873920	-61.355895996	0.0	Px19y3
W	16.609873920	-61.321563721	0.0	Px20y3
W	16.609873920	-61.287231445	0.0	Px21y3
W	16.609873920	-61.252899170	0.0	Px22y3
W	16.609873920	-61.218566895	0.0	Px23y3
W	16.609873920	-61.184234619	0.0	Px24y3
W	16.609873920	-61.149902344	0.0	Px25y3
W	16.609873920	-61.115570068	0.0	Px26y3
W	16.609873920	-61.081237793	0.0	Px27y3
W	16.609873920	-61.046905518	0.0	Px28y3
W	16.609873920	-61.012573242	0.0	Px29y3
W	16.609873920	-60.978240967	0.0	Px30y3
W	16.609873920	-60.943908691	0.0	Px31y3
W	16.576971400	-61.973876953	0.0	Px1y4
W	16.576971400	-61.939544678	0.0	Px2y4
W	16.576971400	-61.905212402	0.0	Px3y4
W	16.576971400	-61.870880127	0.0	Px4y4
W	16.576971400	-61.836547852	0.0	Px5y4
W	16.576971400	-61.802215576	0.0	Px6y4
W	16.576971400	-61.767883301	0.0	Px7y4
W	16.576971400	-61.733551025	0.0	Px8y4
W	16.576971400	-61.699218750	0.0	Px9y4
W	16.576971400	-61.664886475	0.0	Px10y4
W	16.576971400	-61.630554199	0.0	Px11y4
W	16.576971400	-61.596221924	0.0	Px12y4
W	16.576971400	-61.561889648	0.0	Px13y4
W	16.576971400	-61.527557373	0.0	Px14y4
W	16.576971400	-61.493225098	0.0	Px15y4
W	16.576971400	-61.458892822	0.0	Px16y4
W	16.576971400	-61.424560547	0.0	Px17y4
W	16.576971400	-61.390228271	0.0	Px18y4
W	16.576971400	-61.355895996	0.0	Px19y4
W	16.576971400	-61.321563721	0.0	Px20y4
W	16.576971400	-61.287231445	0.0	Px21y4
W	16.576971400	-61.252899170	0.0	Px22y4
W	16.576971400	-61.218566895	0.0	Px23y4
W	16.576971400	-61.184234619	0.0	Px24y4
W	16.576971400	-61.149902344	0.0	Px25y4
W	16.576971400	-61.115570068	0.0	Px26y4
W	16.576971400	-61.081237793	0.0	Px27y4
W	16.576971400	-61.046905518	0.0	Px28y4
W	16.576971400	-61.012573242	0.0	Px29y4
W	16.576971400	-60.978240967	0.0	Px30y4
W	16.576971400	-60.943908691	0.0	Px31y4
W	16.544063255	-61.973876953	0.0	Px1y5
W	16.544063255	-61.939544678	0.0	Px2y5
W	16.544063255	-61.905212402	0.0	Px3y5
W	16.544063255	-61.870880127	0.0	Px4y5
W	16.544063255	-61.836547852	0.0	Px5y5
W	16.544063255	-61.802215576	0.0	Px6y5
W	16.544063255	-61.767883301	0.0	Px7y5
W	16.544063255	-61.733551025	0.0	Px8y5
W	16.544063255	-61.699218750	0.0	Px9y5
W	16.544063255	-61.664886475	0.0	Px10y5
W	16.544063255	-61.630554199	0.0	Px11y5
W	16.544063255	-61.596221924	0.0	Px12y5
W	16.544063255	-61.561889648	0.0	Px13y5
W	16.544063255	-61.527557373	0.0	Px14y5
W	16.544063255	-61.493225098	0.0	Px15y5
W	16.544063255	-61.458892822	0.0	Px16y5
W	16.544063255	-61.424560547	0.0	Px17y5
W	16.544063255	-61.390228271	0.0	Px18y5
W	16.544063255	-61.355895996	0.0	Px19y5
W	16.544063255	-61.321563721	0.0	Px20y5
W	16.544063255	-61.287231445	0.0	Px21y5
W	16.544063255	-61.252899170	0.0	Px22y5
W	16.544063255	-61.218566895	0.0	Px23y5
W	16.544063255	-61.184234619	0.0	Px24y5
W	16.544063255	-61.149902344	0.0	Px25y5
W	16.544063255	-61.115570068	0.0	Px26y5
W	16.544063255	-61.081237793	0.0	Px27y5
W	16.544063255	-61.046905518	0.0	Px28y5
W	16.544063255	-61.012573242	0.0	Px29y5
W	16.544063255	-60.978240967	0.0	Px30y5
W	16.544063255	-60.943908691	0.0	Px31y5
W	16.511149494	-61.973876953	0.0	Px1y6
W	16.511149494	-61.939544678	0.0	Px2y6
W	16.511149494	-61.905212402	0.0	Px3y6
W	16.511149494	-61.870880127	0.0	Px4y6
W	16.511149494	-61.836547852	0.0	Px5y6
W	16.511149494	-61.802215576	0.0	Px6y6
W	16.511149494	-61.767883301	0.0	Px7y6
W	16.511149494	-61.733551025	0.0	Px8y6
W	16.511149494	-61.699218750	0.0	Px9y6
W	16.511149494	-61.664886475	0.0	Px10y6
W	16.511149494	-61.630554199	0.0	Px11y6
W	16.511149494	-61.596221924	0.0	Px12y6
W	16.511149494	-61.561889648	0.0	Px13y6
W	16.511149494	-61.527557373	0.0	Px14y6
W	16.511149494	-61.493225098	0.0	Px15y6
W	16.511149494	-61.458892822	0.0	Px16y6
W	16.511149494	-61.424560547	0.0	Px17y6
W	16.511149494	-61.390228271	0.0	Px18y6
W	16.511149494	-61.355895996	0.0	Px19y6
W	16.511149494	-61.321563721	0.0	Px20y6
W	16.511149494	-61.287231445	0.0	Px21y6
W	16.511149494	-61.252899170	0.0	Px22y6
W	16.511149494	-61.218566895	0.0	Px23y6
W	16.511149494	-61.184234619	0.0	Px24y6
W	16.511149494	-61.149902344	0.0	Px25y6
W	16.511149494	-61.115570068	0.0	Px26y6
W	16.511149494	-61.081237793	0.0	Px27y6
W	16.511149494	-61.046905518	0.0	Px28y6
W	16.511149494	-61.012573242	0.0	Px29y6
W	16.511149494	-60.978240967	0.0	Px30y6
W	16.511149494	-60.943908691	0.0	Px31y6
W	16.478230128	-61.973876953	0.0	Px1y7
W	16.478230128	-61.939544678	0.0	Px2y7
W	16.478230128	-61.905212402	0.0	Px3y7
W	16.478230128	-61.870880127	0.0	Px4y7
W	16.478230128	-61.836547852	0.0	Px5y7
W	16.478230128	-61.802215576	0.0	Px6y7
W	16.478230128	-61.767883301	0.0	Px7y7
W	16.478230128	-61.733551025	0.0	Px8y7
W	16.478230128	-61.699218750	0.0	Px9y7
W	16.478230128	-61.664886475	0.0	Px10y7
W	16.478230128	-61.630554199	0.0	Px11y7
W	16.478230128	-61.596221924	0.0	Px12y7
W	16.478230128	-61.561889648	0.0	Px13y7
W	16.478230128	-61.527557373	0.0	Px14y7
W	16.478230128	-61.493225098	27.5	Px15y7
W	16.478230128	-61.458892822	40.4	Px16y7
W	16.478230128	-61.424560547	0.1	Px17y7
W	16.478230128	-61.390228271	0.0	Px18y7
W	16.478230128	-61.355895996	0.0	Px19y7
W	16.478230128	-61.321563721	0.0	Px20y7
W	16.478230128	-61.287231445	0.0	Px21y7
W	16.478230128	-61.252899170	0.0	Px22y7
W	16.478230128	-61.218566895	0.0	Px23y7
W	16.478230128	-61.184234619	0.0	Px24y7
W	16.478230128	-61.149902344	0.0	Px25y7
W	16.478230128	-61.115570068	0.0	Px26y7
W	16.478230128	-61.081237793	0.0	Px27y7
W	16.478230128	-61.046905518	0.0	Px28y7
W	16.478230128	-61.012573242	0.0	Px29y7
W	16.478230128	-60.978240967	0.0	Px30y7
W	16.478230128	-60.943908691	0.0	Px31y7
W	16.445305166	-61.973876953	0.0	Px1y8
W	16.445305166	-61.939544678	0.0	Px2y8
W	16.445305166	-61.905212402	0.0	Px3y8
W	16.445305166	-61.870880127	0.0	Px4y8
W	16.445305166	-61.836547852	0.0	Px5y8
W	16.445305166	-61.802215576	0.0	Px6y8
W	16.445305166	-61.767883301	0.0	Px7y8
W	16.445305166	-61.733551025	0.0	Px8y8
W	16.445305166	-61.699218750	0.0	Px9y8
W	16.445305166	-61.664886475	0.0	Px10y8
W	16.445305166	-61.630554199	0.0	Px11y8
W	16.445305166	-61.596221924	0.0	Px12y8
W	16.445305166	-61.561889648	0.0	Px13y8
W	16.445305166	-61.527557373	4.3	Px14y8
W	16.445305166	-61.493225098	36.6	Px15y8
W	16.445305166	-61.458892822	19.5	Px16y8
W	16.445305166	-61.424560547	37.7	Px17y8
W	16.445305166	-61.390228271	0.0	Px18y8
W	16.445305166	-61.355895996	0.0	Px19y8
W	16.445305166	-61.321563721	0.0	Px20y8
W	16.445305166	-61.287231445	0.0	Px21y8
W	16.445305166	-61.252899170	0.0	Px22y8
W	16.445305166	-61.218566895	0.0	Px23y8
W	16.445305166	-61.184234619	0.0	Px24y8
W	16.445305166	-61.149902344	0.0	Px25y8
W	16.445305166	-61.115570068	0.0	Px26y8
W	16.445305166	-61.081237793	0.0	Px27y8
W	16.445305166	-61.046905518	0.0	Px28y8
W	16.445305166	-61.012573242	0.0	Px29y8
W	16.445305166	-60.978240967	0.0	Px30y8
W	16.445305166	-60.943908691	0.0	Px31y8
W	16.412374618	-61.973876953	0.0	Px1y9
W	16.412374618	-61.939544678	0.0	Px2y9
W	16.412374618	-61.905212402	0.0	Px3y9
W	16.412374618	-61.870880127	0.0	Px4y9
W	16.412374618	-61.836547852	0.0	Px5y9
W	16.412374618	-61.802215576	0.0	Px6y9
W	16.412374618	-61.767883301	0.0	Px7y9
W	16.412374618	-61.733551025	0.0	Px8y9
W	16.412374618	-61.699218750	0.0	Px9y9
W	16.412374618	-61.664886475	0.0	Px10y9
W	16.412374618	-61.630554199	0.0	Px11y9
W	16.412374618	-61.596221924	0.0	Px12y9
W	16.412374618	-61.561889648	0.0	Px13y9
W	16.412374618	-61.527557373	5.2	Px14y9
W	16.412374618	-61.493225098	8.9	Px15y9
W	16.412374618	-61.458892822	26.1	Px16y9
W	16.412374618	-61.424560547	44.3	Px17y9
W	16.412374618	-61.390228271	0.0	Px18y9
W	16.412374618	-61.355895996	0.0	Px19y9
W	16.412374618	-61.321563721	0.0	Px20y9
W	16.412374618	-61.287231445	0.0	Px21y9
W	16.412374618	-61.252899170	0.0	Px22y9
W	16.412374618	-61.218566895	0.0	Px23y9
W	16.412374618	-61.184234619	0.0	Px24y9
W	16.412374618	-61.149902344	0.0	Px25y9
W	16.412374618	-61.115570068	0.0	Px26y9
W	16.412374618	-61.081237793	0.0	Px27y9
W	16.412374618	-61.046905518	0.0	Px28y9
W	16.412374618	-61.012573242	0.0	Px29y9
W	16.412374618	-60.978240967	0.0	Px30y9
W	16.412374618	-60.943908691	0.0	Px31y9
W	16.379438495	-61.973876953	0.0	Px1y10
W	16.379438495	-61.939544678	0.0	Px2y10
W	16.379438495	-61.905212402	0.0	Px3y10
W	16.379438495	-61.870880127	0.0	Px4y10
W	16.379438495	-61.836547852	0.0	Px5y10
W	16.379438495	-61.802215576	0.0	Px6y10
W	16.379438495	-61.767883301	0.0	Px7y10
W	16.379438495	-61.733551025	0.0	Px8y10
W	16.379438495	-61.699218750	0.0	Px9y10
W	16.379438495	-61.664886475	0.0	Px10y10
W	16.379438495	-61.630554199	0.0	Px11y10
W	16.379438495	-61.596221924	0.0	Px12y10
W	16.379438495	-61.561889648	0.0	Px13y10
W	16.379438495	-61.527557373	0.0	Px14y10
W	16.379438495	-61.493225098	6.4	Px15y10
W	16.379438495	-61.458892822	28.3	Px16y10
W	16.379438495	-61.424560547	50.4	Px17y10
W	16.379438495	-61.390228271	0.0	Px18y10
W	16.379438495	-61.355895996	0.0	Px19y10
W	16.379438495	-61.321563721	0.0	Px20y10
W	16.379438495	-61.287231445	0.0	Px21y10
W	16.379438495	-61.252899170	0.0	Px22y10
W	16.379438495	-61.218566895	0.0	Px23y10
W	16.379438495	-61.184234619	0.0	Px24y10
W	16.379438495	-61.149902344	0.0	Px25y10
W	16.379438495	-61.115570068	0.0	Px26y10
W	16.379438495	-61.081237793	0.0	Px27y10
W	16.379438495	-61.046905518	0.0	Px28y10
W	16.379438495	-61.012573242	0.0	Px29y10
W	16.379438495	-60.978240967	0.0	Px30y10
W	16.379438495	-60.943908691	0.0	Px31y10
W	16.346496805	-61.973876953	0.0	Px1y11
W	16.346496805	-61.939544678	0.0	Px2y11
W	16.346496805	-61.905212402	0.0	Px3y11
W	16.346496805	-61.870880127	0.0	Px4y11
W	16.346496805	-61.836547852	0.0	Px5y11
W	16.346496805	-61.802215576	0.0	Px6y11
W	16.346496805	-61.767883301	58.7	Px7y11
W	16.346496805	-61.733551025	55.2	Px8y11
W	16.346496805	-61.699218750	0.0	Px9y11
W	16.346496805	-61.664886475	0.0	Px10y11
W	16.346496805	-61.630554199	0.0	Px11y11
W	16.346496805	-61.596221924	0.0	Px12y11
W	16.346496805	-61.561889648	0.0	Px13y11
W	16.346496805	-61.527557373	0.0	Px14y11
W	16.346496805	-61.493225098	7.6	Px15y11
W	16.346496805	-61.458892822	4.3	Px16y11
W	16.346496805	-61.424560547	39.9	Px17y11
W	16.346496805	-61.390228271	40.1	Px18y11
W	16.346496805	-61.355895996	0.0	Px19y11
W	16.346496805	-61.321563721	0.0	Px20y11
W	16.346496805	-61.287231445	0.0	Px21y11
W	16.346496805	-61.252899170	0.0	Px22y11
W	16.346496805	-61.218566895	0.0	Px23y11
W	16.346496805	-61.184234619	0.0	Px24y11
W	16.346496805	-61.149902344	0.0	Px25y11
W	16.346496805	-61.115570068	0.0	Px26y11
W	16.346496805	-61.081237793	0.0	Px27y11
W	16.346496805	-61.046905518	0.0	Px28y11
W	16.346496805	-61.012573242	79.7	Px29y11
W	16.346496805	-60.978240967	0.0	Px30y11
W	16.346496805	-60.943908691	0.0	Px31y11
W	16.313549560	-61.973876953	0.0	Px1y12
W	16.313549560	-61.939544678	0.0	Px2y12
W	16.313549560	-61.905212402	0.0	Px3y12
W	16.313549560	-61.870880127	0.0	Px4y12
W	16.313549560	-61.836547852	0.0	Px5y12
W	16.313549560	-61.802215576	14.3	Px6y12
W	16.313549560	-61.767883301	396.9	Px7y12
W	16.313549560	-61.733551025	233.5	Px8y12
W	16.313549560	-61.699218750	71.8	Px9y12
W	16.313549560	-61.664886475	6.6	Px10y12
W	16.313549560	-61.630554199	0.0	Px11y12
W	16.313549560	-61.596221924	0.0	Px12y12
W	16.313549560	-61.561889648	0.0	Px13y12
W	16.313549560	-61.527557373	11.3	Px14y12
W	16.313549560	-61.493225098	29.7	Px15y12
W	16.313549560	-61.458892822	66.1	Px16y12
W	16.313549560	-61.424560547	27.6	Px17y12
W	16.313549560	-61.390228271	16.4	Px18y12
W	16.313549560	-61.355895996	25.6	Px19y12
W	16.313549560	-61.321563721	30.4	Px20y12
W	16.313549560	-61.287231445	39.7	Px21y12
W	16.313549560	-61.252899170	0.0	Px22y12
W	16.313549560	-61.218566895	0.0	Px23y12
W	16.313549560	-61.184234619	0.0	Px24y12
W	16.313549560	-61.149902344	0.0	Px25y12
W	16.313549560	-61.115570068	0.0	Px26y12
W	16.313549560	-61.081237793	0.0	Px27y12
W	16.313549560	-61.046905518	155.6	Px28y12
W	16.313549560	-61.012573242	0.0	Px29y12
W	16.313549560	-60.978240967	0.0	Px30y12
W	16.313549560	-60.943908691	0.0	Px31y12
W	16.280596769	-61.973876953	0.0	Px1y13
W	16.280596769	-61.939544678	0.0	Px2y13
W	16.280596769	-61.905212402	0.0	Px3y13
W	16.280596769	-61.870880127	0.0	Px4y13
W	16.280596769	-61.836547852	0.0	Px5y13
W	16.280596769	-61.802215576	7.8	Px6y13
W	16.280596769	-61.767883301	495.7	Px7y13
W	16.280596769	-61.733551025	410.0	Px8y13
W	16.280596769	-61.699218750	97.7	Px9y13
W	16.280596769	-61.664886475	14.1	Px10y13
W	16.280596769	-61.630554199	22.1	Px11y13
W	16.280596769	-61.596221924	0.0	Px12y13
W	16.280596769	-61.561889648	6.3	Px13y13
W	16.280596769	-61.527557373	14.0	Px14y13
W	16.280596769	-61.493225098	22.5	Px15y13
W	16.280596769	-61.458892822	52.9	Px16y13
W	16.280596769	-61.424560547	88.0	Px17y13
W	16.280596769	-61.390228271	44.7	Px18y13
W	16.280596769	-61.355895996	27.1	Px19y13
W	16.280596769	-61.321563721	49.0	Px20y13
W	16.280596769	-61.287231445	39.4	Px21y13
W	16.280596769	-61.252899170	47.8	Px22y13
W	16.280596769	-61.218566895	0.0	Px23y13
W	16.280596769	-61.184234619	0.0	Px24y13
W	16.280596769	-61.149902344	0.0	Px25y13
W	16.280596769	-61.115570068	0.0	Px26y13
W	16.280596769	-61.081237793	0.0	Px27y13
W	16.280596769	-61.046905518	0.0	Px28y13
W	16.280596769	-61.012573242	0.0	Px29y13
W	16.280596769	-60.978240967	0.0	Px30y13
W	16.280596769	-60.943908691	0.0	Px31y13
W	16.247638442	-61.973876953	0.0	Px1y14
W	16.247638442	-61.939544678	0.0	Px2y14
W	16.247638442	-61.905212402	0.0	Px3y14
W	16.247638442	-61.870880127	0.0	Px4y14
W	16.247638442	-61.836547852	0.0	Px5y14
W	16.247638442	-61.802215576	26.2	Px6y14
W	16.247638442	-61.767883301	393.4	Px7y14
W	16.247638442	-61.733551025	587.3	Px8y14
W	16.247638442	-61.699218750	164.0	Px9y14
W	16.247638442	-61.664886475	49.1	Px10y14
W	16.247638442	-61.630554199	36.1	Px11y14
W	16.247638442	-61.596221924	19.9	Px12y14
W	16.247638442	-61.561889648	14.0	Px13y14
W	16.247638442	-61.527557373	15.0	Px14y14
W	16.247638442	-61.493225098	25.4	Px15y14
W	16.247638442	-61.458892822	55.0	Px16y14
W	16.247638442	-61.424560547	115.7	Px17y14
W	16.247638442	-61.390228271	70.4	Px18y14
W	16.247638442	-61.355895996	17.6	Px19y14
W	16.247638442	-61.321563721	30.8	Px20y14
W	16.247638442	-61.287231445	0.8	Px21y14
W	16.247638442	-61.252899170	0.0	Px22y14
W	16.247638442	-61.218566895	0.0	Px23y14
W	16.247638442	-61.184234619	10.4	Px24y14
W	16.247638442	-61.149902344	0.0	Px25y14
W	16.247638442	-61.115570068	0.0	Px26y14
W	16.247638442	-61.081237793	0.0	Px27y14
W	16.247638442	-61.046905518	0.0	Px28y14
W	16.247638442	-61.012573242	0.0	Px29y14
W	16.247638442	-60.978240967	0.0	Px30y14
W	16.247638442	-60.943908691	0.0	Px31y14
W	16.214674588	-61.973876953	0.0	Px1y15
W	16.214674588	-61.939544678	0.0	Px2y15
W	16.214674588	-61.905212402	0.0	Px3y15
W	16.214674588	-61.870880127	0.0	Px4y15
W	16.214674588	-61.836547852	0.0	Px5y15
W	16.214674588	-61.802215576	0.0	Px6y15
W	16.214674588	-61.767883301	190.3	Px7y15
W	16.214674588	-61.733551025	606.7	Px8y15
W	16.214674588	-61.699218750	286.2	Px9y15
W	16.214674588	-61.664886475	88.7	Px10y15
W	16.214674588	-61.630554199	67.5	Px11y15
