BW      SF  PS   SNR  BER        RSSI          ToA  U1    U2    U3  L
125000  7   10   -40  0.0442862  -157.0309002  0.0247812  0.03  0.49  0.48  2
125000  7   10   -30  0.0428572  -147.0309002  0.0247812  0.31  0.14  0.55  2
125000  7   10   -20  0.0500002  -137.0309002  0.0247812  0.50  0.11  0.39  2
125000  7   10   -10  0.0057142  -127.0309002  0.0247812  0.02  0.81  0.18  1
125000  7   10   0    0.0000002  -117.0309002  0.0247812  0.08  0.48  0.45  1
125000  7   30   -40  0.0500002  -157.0309002  0.0288772  0.57  0.39  0.04  2
125000  7   30   -30  0.0500002  -147.0309002  0.0288772  0.06  0.53  0.40  2
125000  7   30   -20  0.0433332  -137.0309002  0.0288772  0.20  0.71  0.09  2
125000  7   30   -10  0.0000002  -127.0309002  0.0288772  0.24  0.12  0.64  1
125000  7   30   0    0.0000002  -117.0309002  0.0288772  0.24  0.22  0.54  1
125000  7   50   -40  0.0477142  -157.0309002  0.0329732  0.12  0.37  0.51  2
125000  7   50   -30  0.0502862  -147.0309002  0.0329732  0.21  0.28  0.51  2
125000  7   50   -20  0.0451432  -137.0309002  0.0329732  0.77  0.03  0.21  2
125000  7   50   -10  0.0008572  -127.0309002  0.0329732  0.20  0.25  0.56  1
125000  7   50   0    0.0000002  -117.0309002  0.0329732  0.37  0.25  0.38  1
125000  7   70   -40  0.0493882  -157.0309002  0.0370692  0.33  0.31  0.35  2
125000  7   70   -30  0.0465312  -147.0309002  0.0370692  0.19  0.46  0.35  2
125000  7   70   -20  0.0424492  -137.0309002  0.0370692  0.21  0.34  0.45  2
125000  7   70   -10  0.0022452  -127.0309002  0.0370692  0.20  0.34  0.46  1
125000  7   70   0    0.0000002  -117.0309002  0.0370692  0.47  0.52  0.01  1
125000  7   90   -40  0.0509522  -157.0309002  0.0411652  0.10  0.34  0.56  2
125000  7   90   -30  0.0503172  -147.0309002  0.0411652  0.56  0.10  0.34  2
125000  7   90   -20  0.0484132  -137.0309002  0.0411652  0.55  0.09  0.36  2
125000  7   90   -10  0.0009522  -127.0309002  0.0411652  0.11  0.01  0.88  1
125000  7   90   0    0.0000002  -117.0309002  0.0411652  0.51  0.09  0.40  1
125000  7   110  -40  0.0506492  -157.0309002  0.0452612  0.49  0.17  0.34  2
125000  7   110  -30  0.0475322  -147.0309002  0.0452612  0.29  0.42  0.29  2
125000  7   110  -20  0.0440262  -137.0309002  0.0452612  0.32  0.14  0.54  2
125000  7   110  -10  0.0022082  -127.0309002  0.0452612  0.56  0.22  0.22  1
125000  7   110  0    0.0000002  -117.0309002  0.0452612  0.30  0.36  0.34  1
125000  8   10   -40  0.0475002  -157.0309002  0.0495622  0.36  0.15  0.49  2
125000  8   10   -30  0.0375002  -147.0309002  0.0495622  0.33  0.43  0.24  2
125000  8   10   -20  0.0487502  -137.0309002  0.0495622  0.01  0.51  0.48  2
125000  8   10   -10  0.0000002  -127.0309002  0.0495622  0.37  0.21  0.42  1
125000  8   10   0    0.0000002  -117.0309002  0.0495622  0.34  0.23  0.43  1
125000  8   30   -40  0.0525002  -157.0309002  0.0577542  0.39  0.28  0.34  2
125000  8   30   -30  0.0479172  -147.0309002  0.0577542  0.19  0.44  0.38  2
125000  8   30   -20  0.0383332  -137.0309002  0.0577542  0.34  0.32  0.34  2
125000  8   30   -10  0.0000002  -127.0309002  0.0577542  0.40  0.13  0.47  1
125000  8   30   0    0.0000002  -117.0309002  0.0577542  0.79  0.04  0.17  1
125000  8   50   -40  0.0510002  -157.0309002  0.0577542  0.37  0.47  0.16  2
125000  8   50   -30  0.0517502  -147.0309002  0.0577542  0.29  0.06  0.65  2
125000  8   50   -20  0.0367502  -137.0309002  0.0577542  0.25  0.42  0.33  2
125000  8   50   -10  0.0000002  -127.0309002  0.0577542  0.61  0.23  0.16  1
125000  8   50   0    0.0000002  -117.0309002  0.0577542  0.28  0.01  0.71  1
125000  8   70   -40  0.0466072  -157.0309002  0.0659462  0.26  0.56  0.18  2
125000  8   70   -30  0.0498212  -147.0309002  0.0659462  0.58  0.36  0.06  2
125000  8   70   -20  0.0412502  -137.0309002  0.0659462  0.22  0.44  0.34  2
125000  8   70   -10  0.0000002  -127.0309002  0.0659462  0.26  0.14  0.60  1
125000  8   70   0    0.0000002  -117.0309002  0.0659462  0.23  0.39  0.39  1
125000  8   90   -40  0.0515282  -157.0309002  0.0741382  0.12  0.36  0.52  2
125000  8   90   -30  0.0536112  -147.0309002  0.0741382  0.34  0.10  0.57  2
125000  8   90   -20  0.0405562  -137.0309002  0.0741382  0.22  0.47  0.32  2
125000  8   90   -10  0.0000002  -127.0309002  0.0741382  0.48  0.03  0.49  1
125000  8   90   0    0.0000002  -117.0309002  0.0741382  0.28  0.62  0.11  1
125000  8   110  -40  0.0505682  -157.0309002  0.0823302  0.32  0.48  0.21  2
125000  8   110  -30  0.0485232  -147.0309002  0.0823302  0.35  0.26  0.39  2
125000  8   110  -20  0.0456822  -137.0309002  0.0823302  0.61  0.38  0.01  2
125000  8   110  -10  0.0000002  -127.0309002  0.0823302  0.11  0.45  0.44  1
125000  8   110  0    0.0000002  -117.0309002  0.0823302  0.34  0.32  0.34  1
125000  9   10   -40  0.0433332  -157.0309002  0.0991232  0.27  0.19  0.53  2
125000  9   10   -30  0.0400002  -147.0309002  0.0991232  0.42  0.43  0.15  2
125000  9   10   -20  0.0433332  -137.0309002  0.0991232  0.44  0.24  0.32  2
125000  9   10   -10  0.0000002  -127.0309002  0.0991232  0.32  0.09  0.59  1
125000  9   10   0    0.0000002  -117.0309002  0.0991232  0.29  0.15  0.56  1
125000  9   30   -40  0.0459262  -157.0309002  0.0991232  0.17  0.57  0.26  2
125000  9   30   -30  0.0529632  -147.0309002  0.0991232  0.88  0.08  0.04  2
125000  9   30   -20  0.0329632  -137.0309002  0.0991232  0.35  0.60  0.05  2
125000  9   30   -10  0.0000002  -127.0309002  0.0991232  0.22  0.75  0.02  1
