BER  RSSI  ToA L
63   0     2 2
61   21    2 2
71   43    2 2
8    65    2 1
0    86    2 1
71   0     2 2
71   21    2 2
61   43    2 2
0    65    2 1
0    86    2 1
68   0     3 2
71   21    3 2
64   43    3 2
1    65    3 1
0    86    3 1
70   0     3 2
66   21    3 2
60   43    3 2
3    65    3 1
0    86    3 1
72   0     3 2
71   21    3 2
69   43    3 2
1    65    3 1
0    86    3 1
72   0     4 2
67   21    4 2
62   43    4 2
3    65    4 1
0    86    4 1
67   0     4 2
53   21    4 2
69   43    4 2
0    65    4 1
0    86    4 1
75   0     5 2
68   21    5 2
54   43    5 2
0    65    5 1
0    86    5 1
72   0     5 2
73   21    5 2
52   43    5 2
0    65    5 1
0    86    5 1
66   0     6 2
71   21    6 2
58   43    6 2
0    65    6 1
0    86    6 1
73   0     6 2
76   21    6 2
57   43    6 2
0    65    6 1
0    86    6 1
72   0     7 2
69   21    7 2
65   43    7 2
0    65    7 1
0    86    7 1
61   0     9 2
57   21    9 2
61   43    9 2
0    65    9 1
0    86    9 1
65   0     9 2
75   21    9 2
47   43    9 2
0    65    9 1
0    86    9 1
67   0     10 2
70   21    10 2
46   43    10 2
0    65    10 1
0    86    10 1
66   0     12 2
68   21    12 2
39   43    12 2
0    65    12 1
0    86    12 1
73   0     12 2
69   21    12 2
40   43    12 2
0    65    12 1
0    86    12 1
72   0     13 2
71   21    13 2
42   43    13 2
0    65    13 1
0    86    13 1
70   0     15 2
74   21    15 2
14   43    15 1
0    65    15 1
0    86    15 1
68   0     18 2
64   21    18 2
10   43    18 1
0    65    18 1
0    86    18 1
70   0     21 2
66   21    21 2
20   43    21 1
0    65    21 1
0    86    21 1
70   0     21 2
68   21    21 2
17   43    21 1
0    65    21 1
0    86    21 1
69   0     24 2
67   21    24 2
15   43    24 1
0    65    24 1
0    86    24 1
74   0     27 2
76   21    27 2
20   43    27 1
0    65    27 1
0    86    27 1
71   0     31 2
74   21    31 2
0    43    31 1
0    65    31 1
0    86    31 1
73   0     37 2
64   21    37 2
0    43    37 0
0    65    37 1
0    86    37 1
70   0     37 2
66   21    37 2
11   43    37 0
0    65    37 1
0    86    37 1
74   0     43 2
68   21    43 2
0    43    43 0
0    65    43 1
0    86    43 1
73   0     49 2
67   21    49 2
2    43    49 0
0    65    49 0
0    86    49 1
69   0     49 2
68   21    49 2
7    43    49 0
0    65    49 0
0    86    49 1
65   0     62 2
64   21    62 2
0    43    62 0
0    65    62 0
0    86    62 0
73   0     74 2
65   21    74 2
0    43    74 0
0    65    74 0
0    86    74 0
68   0     74 2
66   21    74 2
0    43    74 0
0    65    74 0
0    86    74 0
72   0     87 2
60   21    87 2
4    43    87 0
0    65    87 0
0    86    87 0
70   0     87 2
57   21    87 2
0    43    87 0
0    65    87 0
0    86    87 0
69   0     99 2
61   21    99 2
0    43    99 0
0    65    99 0
0    86    99 0
63   6     1 2
61   28    1 2
63   49    1 2
0    71    1 1
0    93    1 1
68   6     1 2
72   28    1 2
66   49    1 2
4    71    1 1
0    93    1 1
68   6     1 2
70   28    1 2
69   49    1 2
3    71    1 1
0    93    1 1
71   6     1 2
72   28    1 2
64   49    1 2
1    71    1 1
0    93    1 1
78   6     1 2
73   28    1 2
68   49    1 2
4    71    1 1
0    93    1 1
69   6     2 2
67   28    2 2
65   49    2 2
1    71    2 1
0    93    2 1
60   6     2 2
78   28    2 2
89   49    2 2
0    71    2 1
0    93    2 1
66   6     2 2
74   28    2 2
50   49    2 2
0    71    2 1
0    93    2 1
71   6     2 2
64   28    2 2
58   49    2 2
0    71    2 1
0    93    2 1
69   6     3 2
66   28    3 2
59   49    3 2
0    71    3 1
0    93    3 1
71   6     3 2
66   28    3 2
56   49    3 2
0    71    3 1
0    93    3 1
73   6     3 2
74   28    3 2
65   49    3 2
0    71    3 1
0    93    3 1
76   6     4 2
71   28    4 2
44   49    4 2
0    71    4 1
0    93    4 1
71   6     4 2
69   28    4 2
46   49    4 2
0    71    4 1
0    93    4 1
76   6     5 2
67   28    5 2
45   49    5 2
0    71    5 1
0    93    5 1
74   6     6 2
70   28    6 2
46   49    6 2
0    71    6 1
0    93    6 1
76   6     6 2
77   28    6 2
46   49    6 2
0    71    6 1
0    93    6 1
72   6     6 2
76   28    6 2
38   49    6 2
0    71    6 1
0    93    6 1
61   6     7 2
80   28    7 2
17   49    7 1
0    71    7 1
0    93    7 1
71   6     9 2
75   28    9 2
14   49    9 1
4    71    9 1
0    93    9 1
67   6     10 2
64   28    10 2
17   49    10 1
0    71    10 1
0    93    10 1
73   6     10 2
73   28    10 2
17   49    10 1
0    71    10 1
0    93    10 1
69   6     12 2
65   28    12 2
24   49    12 1
0    71    12 1
0    93    12 1
69   6     13 2
68   28    13 2
28   49    13 1
0    71    13 1
0    93    13 1
75   6     15 2
83   28    15 2
0    49    15 1
0    71    15 1
0    93    15 1
69   6     18 2
72   28    18 2
7    49    18 1
0    71    18 1
0    93    18 1
71   6     18 2
75   28    18 2
0    49    18 1
0    71    18 1
0    93    18 1
69   6     21 2
72   28    21 2
2    49    21 1
0    71    21 1
0    93    21 1
69   6     24 2
67   28    24 2
7    49    24 1
0    71    24 1
0    93    24 1
71   6     24 2
