BW      SF  PS   SNR  BER        RSSI          ToA
125000  7   10   -40  0.442862  -157.0309002  0.0247812
125000  7   10   -30  0.428572  -147.0309002  0.0247812
125000  7   10   -20  0.500002  -137.0309002  0.0247812
125000  7   10   -10  0.057142  -127.0309002  0.0247812
125000  7   10   0    0.000002  -117.0309002  0.0247812
125000  7   30   -40  0.500002  -157.0309002  0.0288772
125000  7   30   -30  0.500002  -147.0309002  0.0288772
125000  7   30   -20  0.433332  -137.0309002  0.0288772
125000  7   30   -10  0.000002  -127.0309002  0.0288772
125000  7   30   0    0.000002  -117.0309002  0.0288772
125000  7   50   -40  0.477142  -157.0309002  0.0329732
125000  7   50   -30  0.502862  -147.0309002  0.0329732
125000  7   50   -20  0.451432  -137.0309002  0.0329732
125000  7   50   -10  0.008572  -127.0309002  0.0329732
125000  7   50   0    0.000002  -117.0309002  0.0329732
125000  7   70   -40  0.493882  -157.0309002  0.0370692
125000  7   70   -30  0.465312  -147.0309002  0.0370692
125000  7   70   -20  0.424492  -137.0309002  0.0370692
125000  7   70   -10  0.022452  -127.0309002  0.0370692
125000  7   70   0    0.000002  -117.0309002  0.0370692
125000  7   90   -40  0.509522  -157.0309002  0.0411652
125000  7   90   -30  0.503172  -147.0309002  0.0411652
125000  7   90   -20  0.484132  -137.0309002  0.0411652
125000  7   90   -10  0.009522  -127.0309002  0.0411652
125000  7   90   0    0.000002  -117.0309002  0.0411652
125000  7   110  -40  0.506492  -157.0309002  0.0452612
125000  7   110  -30  0.475322  -147.0309002  0.0452612
125000  7   110  -20  0.440262  -137.0309002  0.0452612
125000  7   110  -10  0.022082  -127.0309002  0.0452612
125000  7   110  0    0.000002  -117.0309002  0.0452612
125000  8   10   -40  0.475002  -157.0309002  0.0495622
125000  8   10   -30  0.375002  -147.0309002  0.0495622
125000  8   10   -20  0.487502  -137.0309002  0.0495622
125000  8   10   -10  0.000002  -127.0309002  0.0495622
125000  8   10   0    0.000002  -117.0309002  0.0495622
125000  8   30   -40  0.525002  -157.0309002  0.0577542
125000  8   30   -30  0.479172  -147.0309002  0.0577542
125000  8   30   -20  0.383332  -137.0309002  0.0577542
125000  8   30   -10  0.000002  -127.0309002  0.0577542
125000  8   30   0    0.000002  -117.0309002  0.0577542
125000  8   50   -40  0.510002  -157.0309002  0.0577542
125000  8   50   -30  0.517502  -147.0309002  0.0577542
125000  8   50   -20  0.367502  -137.0309002  0.0577542
125000  8   50   -10  0.000002  -127.0309002  0.0577542
125000  8   50   0    0.000002  -117.0309002  0.0577542
125000  8   70   -40  0.466072  -157.0309002  0.0659462
125000  8   70   -30  0.498212  -147.0309002  0.0659462
125000  8   70   -20  0.412502  -137.0309002  0.0659462
125000  8   70   -10  0.000002  -127.0309002  0.0659462
125000  8   70   0    0.000002  -117.0309002  0.0659462
125000  8   90   -40  0.515282  -157.0309002  0.0741382
125000  8   90   -30  0.536112  -147.0309002  0.0741382
125000  8   90   -20  0.405562  -137.0309002  0.0741382
125000  8   90   -10  0.000002  -127.0309002  0.0741382
125000  8   90   0    0.000002  -117.0309002  0.0741382
125000  8   110  -40  0.505682  -157.0309002  0.0823302
125000  8   110  -30  0.485232  -147.0309002  0.0823302
125000  8   110  -20  0.456822  -137.0309002  0.0823302
125000  8   110  -10  0.000002  -127.0309002  0.0823302
125000  8   110  0    0.000002  -117.0309002  0.0823302
125000  9   10   -40  0.433332  -157.0309002  0.0991232
125000  9   10   -30  0.400002  -147.0309002  0.0991232
125000  9   10   -20  0.433332  -137.0309002  0.0991232
125000  9   10   -10  0.000002  -127.0309002  0.0991232
125000  9   10   0    0.000002  -117.0309002  0.0991232
125000  9   30   -40  0.459262  -157.0309002  0.0991232
125000  9   30   -30  0.529632  -147.0309002  0.0991232
125000  9   30   -20  0.329632  -137.0309002  0.0991232
125000  9   30   -10  0.000002  -127.0309002  0.0991232
125000  9   30   0    0.000002  -117.0309002  0.0991232
125000  9   50   -40  0.471112  -157.0309002  0.1155072
125000  9   50   -30  0.495562  -147.0309002  0.1155072
125000  9   50   -20  0.324442  -137.0309002  0.1155072
125000  9   50   -10  0.000002  -127.0309002  0.1155072
