BER       RSSI          ToA       L
0.442862  -157.0309002  0.024781  2
0.428572  -147.0309002  0.024781  2
0.500002  -137.0309002  0.024781  2
0.057142  -127.0309002  0.024781  1
0.000002  -117.0309002  0.024781  1
0.500002  -157.0309002  0.028877  2
0.500002  -147.0309002  0.028877  2
0.433332  -137.0309002  0.028877  2
0.000002  -127.0309002  0.028877  1
0.000002  -117.0309002  0.028877  1
0.477142  -157.0309002  0.032973  2
0.502862  -147.0309002  0.032973  2
0.451432  -137.0309002  0.032973  2
0.008572  -127.0309002  0.032973  1
0.000002  -117.0309002  0.032973  1
0.493882  -157.0309002  0.037069  2
0.465312  -147.0309002  0.037069  2
0.424492  -137.0309002  0.037069  2
0.022452  -127.0309002  0.037069  1
0.000002  -117.0309002  0.037069  1
0.509522  -157.0309002  0.041165  2
0.503172  -147.0309002  0.041165  2
0.484132  -137.0309002  0.041165  2
0.009522  -127.0309002  0.041165  1
0.000002  -117.0309002  0.041165  1
0.506492  -157.0309002  0.045261  2
0.475322  -147.0309002  0.045261  2
0.440262  -137.0309002  0.045261  2
0.022082  -127.0309002  0.045261  1
0.000002  -117.0309002  0.045261  1
0.475002  -157.0309002  0.049562  2
0.375002  -147.0309002  0.049562  2
0.487502  -137.0309002  0.049562  2
0.000002  -127.0309002  0.049562  1
0.000002  -117.0309002  0.049562  1
0.525002  -157.0309002  0.057754  2
0.479172  -147.0309002  0.057754  2
0.383332  -137.0309002  0.057754  2
0.000002  -127.0309002  0.057754  1
0.000002  -117.0309002  0.057754  1
0.510002  -157.0309002  0.057754  2
0.517502  -147.0309002  0.057754  2
0.367502  -137.0309002  0.057754  2
0.000002  -127.0309002  0.057754  1
0.000002  -117.0309002  0.057754  1
0.466072  -157.0309002  0.065946  2
0.498212  -147.0309002  0.065946  2
0.412502  -137.0309002  0.065946  2
0.000002  -127.0309002  0.065946  1
0.000002  -117.0309002  0.065946  1
0.515282  -157.0309002  0.074138  2
0.536112  -147.0309002  0.074138  2
0.405562  -137.0309002  0.074138  2
0.000002  -127.0309002  0.074138  1
0.000002  -117.0309002  0.074138  1
0.505682  -157.0309002  0.082330  2
0.485232  -147.0309002  0.082330  2
0.456822  -137.0309002  0.082330  2
0.000002  -127.0309002  0.082330  1
0.000002  -117.0309002  0.082330  1
0.433332  -157.0309002  0.099123  2
0.400002  -147.0309002  0.099123  2
0.433332  -137.0309002  0.099123  2
0.000002  -127.0309002  0.099123  1
0.000002  -117.0309002  0.099123  1
0.459262  -157.0309002  0.099123  2
0.529632  -147.0309002  0.099123  2
0.329632  -137.0309002  0.099123  2
0.000002  -127.0309002  0.099123  1
0.000002  -117.0309002  0.099123  1
0.471112  -157.0309002  0.115507  2
0.495562  -147.0309002  0.115507  2
0.324442  -137.0309002  0.115507  2
0.000002  -127.0309002  0.115507  1
0.000002  -117.0309002  0.115507  1
0.463492  -157.0309002  0.131891  2
0.482542  -147.0309002  0.131891  2
0.276192  -137.0309002  0.131891  2
0.000002  -127.0309002  0.131891  1
0.000002  -117.0309002  0.131891  1
0.512352  -157.0309002  0.131891  2
0.486422  -147.0309002  0.131891  2
0.286422  -137.0309002  0.131891  2
0.000002  -127.0309002  0.131891  1
0.000002  -117.0309002  0.131891  1
0.505052  -157.0309002  0.148275  2
0.498992  -147.0309002  0.148275  2
0.297982  -137.0309002  0.148275  2
0.000002  -127.0309002  0.148275  1
0.000002  -117.0309002  0.148275  1
0.490002  -157.0309002  0.165478  2
0.520002  -147.0309002  0.165478  2
0.100002  -137.0309002  0.165478  1
0.000002  -127.0309002  0.165478  1
0.000002  -117.0309002  0.165478  1
0.480002  -157.0309002  0.198246  2
0.453332  -147.0309002  0.198246  2
0.076672  -137.0309002  0.198246  1
0.000002  -127.0309002  0.198246  1
0.000002  -117.0309002  0.198246  1
0.494002  -157.0309002  0.231014  2
0.464002  -147.0309002  0.231014  2
0.146002  -137.0309002  0.231014  1
0.000002  -127.0309002  0.231014  1
0.000002  -117.0309002  0.231014  1
0.495712  -157.0309002  0.231014  2
0.482862  -147.0309002  0.231014  2
0.121432  -137.0309002  0.231014  1
0.000002  -127.0309002  0.231014  1
0.000002  -117.0309002  0.231014  1
0.487782  -157.0309002  0.263782  2
0.474442  -147.0309002  0.263782  2
0.106672  -137.0309002  0.263782  1
0.000002  -127.0309002  0.263782  1
0.000002  -117.0309002  0.263782  1
0.521822  -157.0309002  0.296550  2
0.533642  -147.0309002  0.296550  2
0.143642  -137.0309002  0.296550  1
0.000002  -127.0309002  0.296550  1
0.000002  -117.0309002  0.296550  1
0.500002  -157.0309002  0.330957  2
0.518182  -147.0309002  0.330957  2
0.000002  -137.0309002  0.330957  1
0.000002  -127.0309002  0.330957  1
0.000002  -117.0309002  0.330957  1
0.512122  -157.0309002  0.396493  2
0.448482  -147.0309002  0.396493  2
0.000002  -137.0309002  0.396493  0
0.000002  -127.0309002  0.396493  1
0.000002  -117.0309002  0.396493  1
0.496362  -157.0309002  0.396493  2
0.465452  -147.0309002  0.396493  2
0.081822  -137.0309002  0.396493  0
0.000002  -127.0309002  0.396493  1
0.000002  -117.0309002  0.396493  1
0.522082  -157.0309002  0.462029  2
0.479222  -147.0309002  0.462029  2
0.002602  -137.0309002  0.462029  0
0.000002  -127.0309002  0.462029  1
0.000002  -117.0309002  0.462029  1
0.515152  -157.0309002  0.527565  2
0.473742  -147.0309002  0.527565  2
0.014142  -137.0309002  0.527565  0
0.000002  -127.0309002  0.527565  0
0.000002  -117.0309002  0.527565  1
0.487602  -157.0309002  0.527565  2
0.481822  -147.0309002  0.527565  2
0.051242  -137.0309002  0.527565  0
0.000002  -127.0309002  0.527565  0
0.000002  -117.0309002  0.527565  1
0.458332  -157.0309002  0.661914  2
0.450002  -147.0309002  0.661914  2
0.000002  -137.0309002  0.661914  0
0.000002  -127.0309002  0.661914  0
0.000002  -117.0309002  0.661914  0
0.511112  -157.0309002  0.792986  2
0.461112  -147.0309002  0.792986  2
0.000002  -137.0309002  0.792986  0
0.000002  -127.0309002  0.792986  0
0.000002  -117.0309002  0.792986  0
0.476672  -157.0309002  0.792986  2
0.463332  -147.0309002  0.792986  2
0.000002  -137.0309002  0.792986  0
0.000002  -127.0309002  0.792986  0
0.000002  -117.0309002  0.792986  0
0.508332  -157.0309002  0.924058  2
0.421432  -147.0309002  0.924058  2
0.033332  -137.0309002  0.924058  0
0.000002  -127.0309002  0.924058  0
0.000002  -117.0309002  0.924058  0
0.494442  -157.0309002  0.924058  2
0.403702  -147.0309002  0.924058  2
0.000002  -137.0309002  0.924058  0
0.000002  -127.0309002  0.924058  0
0.000002  -117.0309002  0.924058  0
0.489392  -157.0309002  1.055130  2
0.429552  -147.0309002  1.055130  2
0.000002  -137.0309002  1.055130  0
0.000002  -127.0309002  1.055130  0
0.000002  -117.0309002  1.055130  0
0.442862  -154.0206002  0.012390  2
0.428572  -144.0206002  0.012390  2
0.442862  -134.0206002  0.012390  2
0.000002  -124.0206002  0.012390  1
0.000002  -114.0206002  0.012390  1
0.480952  -154.0206002  0.014438  2
0.504762  -144.0206002  0.014438  2
0.466672  -134.0206002  0.014438  2
0.033332  -124.0206002  0.014438  1
0.000002  -114.0206002  0.014438  1
0.482862  -154.0206002  0.016486  2
0.494292  -144.0206002  0.016486  2
0.488572  -134.0206002  0.016486  2
0.025712  -124.0206002  0.016486  1
0.000002  -114.0206002  0.016486  1
0.502042  -154.0206002  0.018534  2
0.508162  -144.0206002  0.018534  2
0.448982  -134.0206002  0.018534  2
0.010202  -124.0206002  0.018534  1
0.000002  -114.0206002  0.018534  1
0.547622  -154.0206002  0.020582  2
0.515872  -144.0206002  0.020582  2
0.477782  -134.0206002  0.020582  2
0.030162  -124.0206002  0.020582  1
0.000002  -114.0206002  0.020582  1
0.488312  -154.0206002  0.022630  2
0.470132  -144.0206002  0.022630  2
0.457142  -134.0206002  0.022630  2
0.009092  -124.0206002  0.022630  1
0.000002  -114.0206002  0.022630  1
0.425002  -154.0206002  0.024781  2
0.550002  -144.0206002  0.024781  2
0.625002  -134.0206002  0.024781  2
0.000002  -124.0206002  0.024781  1
0.000002  -114.0206002  0.024781  1
0.466672  -154.0206002  0.028877  2
0.520832  -144.0206002  0.028877  2
0.354172  -134.0206002  0.028877  2
0.000002  -124.0206002  0.028877  1
0.000002  -114.0206002  0.028877  1
0.497502  -154.0206002  0.028877  2
0.450002  -144.0206002  0.028877  2
0.412502  -134.0206002  0.028877  2
0.000002  -124.0206002  0.028877  1
0.000002  -114.0206002  0.028877  1
0.485712  -154.0206002  0.032973  2
0.464292  -144.0206002  0.032973  2
0.417862  -134.0206002  0.032973  2
0.000002  -124.0206002  0.032973  1
0.000002  -114.0206002  0.032973  1
0.501392  -154.0206002  0.037069  2
0.465282  -144.0206002  0.037069  2
0.398612  -134.0206002  0.037069  2
0.000002  -124.0206002  0.037069  1
0.000002  -114.0206002  0.037069  1
0.512502  -154.0206002  0.041165  2
0.518182  -144.0206002  0.041165  2
0.457952  -134.0206002  0.041165  2
0.000002  -124.0206002  0.041165  1
0.000002  -114.0206002  0.041165  1
0.533332  -154.0206002  0.049562  2
0.500002  -144.0206002  0.049562  2
0.311112  -134.0206002  0.049562  2
0.000002  -124.0206002  0.049562  1
0.000002  -114.0206002  0.049562  1
0.503702  -154.0206002  0.049562  2
0.488892  -144.0206002  0.049562  2
0.322222  -134.0206002  0.049562  2
0.000002  -124.0206002  0.049562  1
0.000002  -114.0206002  0.049562  1
0.537782  -154.0206002  0.057754  2
0.473332  -144.0206002  0.057754  2
0.315562  -134.0206002  0.057754  2
0.000002  -124.0206002  0.057754  1
0.000002  -114.0206002  0.057754  1
0.519052  -154.0206002  0.065946  2
0.490482  -144.0206002  0.065946  2
0.328572  -134.0206002  0.065946  2
0.000002  -124.0206002  0.065946  1
0.000002  -114.0206002  0.065946  1
0.534572  -154.0206002  0.065946  2
0.544442  -144.0206002  0.065946  2
0.323462  -134.0206002  0.065946  2
0.000002  -124.0206002  0.065946  1
0.000002  -114.0206002  0.065946  1
0.504042  -154.0206002  0.074138  2
0.534342  -144.0206002  0.074138  2
0.267682  -134.0206002  0.074138  2
0.000002  -124.0206002  0.074138  1
0.000002  -114.0206002  0.074138  1
0.430002  -154.0206002  0.082739  2
0.560002  -144.0206002  0.082739  2
0.120002  -134.0206002  0.082739  1
0.000002  -124.0206002  0.082739  1
0.000002  -114.0206002  0.082739  1
0.503332  -154.0206002  0.099123  2
0.530002  -144.0206002  0.099123  2
0.103332  -134.0206002  0.099123  1
0.030002  -124.0206002  0.099123  1
0.000002  -114.0206002  0.099123  1
0.472002  -154.0206002  0.115507  2
0.452002  -144.0206002  0.115507  2
0.122002  -134.0206002  0.115507  1
0.000002  -124.0206002  0.115507  1
0.000002  -114.0206002  0.115507  1
0.515712  -154.0206002  0.115507  2
0.517142  -144.0206002  0.115507  2
0.121432  -134.0206002  0.115507  1
0.000002  -124.0206002  0.115507  1
0.000002  -114.0206002  0.115507  1
0.485562  -154.0206002  0.131891  2
0.456672  -144.0206002  0.131891  2
0.173332  -134.0206002  0.131891  1
0.000002  -124.0206002  0.131891  1
0.000002  -114.0206002  0.131891  1
0.484552  -154.0206002  0.148275  2
0.480912  -144.0206002  0.148275  2
0.197272  -134.0206002  0.148275  1
0.000002  -124.0206002  0.148275  1
0.000002  -114.0206002  0.148275  1
0.527272  -154.0206002  0.165478  2
0.581822  -144.0206002  0.165478  2
0.000002  -134.0206002  0.165478  1
0.000002  -124.0206002  0.165478  1
0.000002  -114.0206002  0.165478  1
0.487882  -154.0206002  0.198246  2
0.506062  -144.0206002  0.198246  2
0.054552  -134.0206002  0.198246  1
0.000002  -124.0206002  0.198246  1
0.000002  -114.0206002  0.198246  1
0.501822  -154.0206002  0.198246  2
0.525452  -144.0206002  0.198246  2
0.000002  -134.0206002  0.198246  1
0.000002  -124.0206002  0.198246  1
0.000002  -114.0206002  0.198246  1
0.485712  -154.0206002  0.231014  2
0.505192  -144.0206002  0.231014  2
0.019482  -134.0206002  0.231014  1
0.000002  -124.0206002  0.231014  1
0.000002  -114.0206002  0.231014  1
0.487882  -154.0206002  0.263782  2
0.472732  -144.0206002  0.263782  2
0.054552  -134.0206002  0.263782  1
0.000002  -124.0206002  0.263782  1
0.000002  -114.0206002  0.263782  1
0.499172  -154.0206002  0.263782  2
0.471072  -144.0206002  0.263782  2
0.005792  -134.0206002  0.263782  1
0.000002  -124.0206002  0.263782  1
0.000002  -114.0206002  0.263782  1
0.475002  -154.0206002  0.330957  2
0.541672  -144.0206002  0.330957  2
0.000002  -134.0206002  0.330957  1
0.000002  -124.0206002  0.330957  1
0.000002  -114.0206002  0.330957  1
0.466672  -154.0206002  0.396493  2
0.419442  -144.0206002  0.396493  2
0.000002  -134.0206002  0.396493  0
0.000002  -124.0206002  0.396493  1
0.000002  -114.0206002  0.396493  1
0.520002  -154.0206002  0.396493  2
0.428332  -144.0206002  0.396493  2
0.000002  -134.0206002  0.396493  0
0.000002  -124.0206002  0.396493  1
0.000002  -114.0206002  0.396493  1
0.528572  -154.0206002  0.462029  2
0.441672  -144.0206002  0.462029  2
0.144052  -134.0206002  0.462029  0
0.000002  -124.0206002  0.462029  1
0.000002  -114.0206002  0.462029  1
0.533332  -154.0206002  0.462029  2
0.407412  -144.0206002  0.462029  2
0.000002  -134.0206002  0.462029  0
0.000002  -124.0206002  0.462029  1
0.000002  -114.0206002  0.462029  1
0.511362  -154.0206002  0.527565  2
0.421212  -144.0206002  0.527565  2
0.090152  -134.0206002  0.527565  0
0.000002  -124.0206002  0.527565  1
0.000002  -114.0206002  0.527565  1
0.600002  -151.0103002  0.006195  2
0.414292  -141.0103002  0.006195  2
0.428572  -131.0103002  0.006195  2
0.000002  -121.0103002  0.006195  1
0.000002  -111.0103002  0.006195  1
0.528572  -151.0103002  0.007219  2
0.571432  -141.0103002  0.007219  2
0.519052  -131.0103002  0.007219  2
0.023812  -121.0103002  0.007219  1
0.000002  -111.0103002  0.007219  1
0.462862  -151.0103002  0.008243  2
0.517142  -141.0103002  0.008243  2
0.502862  -131.0103002  0.008243  2
0.025712  -121.0103002  0.008243  1
0.000002  -111.0103002  0.008243  1
0.459182  -151.0103002  0.009267  2
0.475512  -141.0103002  0.009267  2
0.463272  -131.0103002  0.009267  2
0.018372  -121.0103002  0.009267  1
0.000002  -111.0103002  0.009267  1
0.511112  -151.0103002  0.010291  2
0.538102  -141.0103002  0.010291  2
0.431752  -131.0103002  0.010291  2
0.019052  -121.0103002  0.010291  1
0.000002  -111.0103002  0.010291  1
0.489612  -151.0103002  0.011315  2
0.480522  -141.0103002  0.011315  2
0.480522  -131.0103002  0.011315  2
0.016882  -121.0103002  0.011315  1
0.000002  -111.0103002  0.011315  1
0.487502  -151.0103002  0.012390  2
0.512502  -141.0103002  0.012390  2
0.512502  -131.0103002  0.012390  2
0.000002  -121.0103002  0.012390  1
0.000002  -111.0103002  0.012390  1
0.554172  -151.0103002  0.014438  2
0.558332  -141.0103002  0.014438  2
0.391672  -131.0103002  0.014438  2
0.000002  -121.0103002  0.014438  1
0.000002  -111.0103002  0.014438  1
0.532502  -151.0103002  0.014438  2
0.460002  -141.0103002  0.014438  2
0.457502  -131.0103002  0.014438  2
0.000002  -121.0103002  0.014438  1
0.000002  -111.0103002  0.014438  1
0.489292  -151.0103002  0.016486  2
0.492862  -141.0103002  0.016486  2
0.416072  -131.0103002  0.016486  2
0.000002  -121.0103002  0.016486  1
0.000002  -111.0103002  0.016486  1
0.509722  -151.0103002  0.018534  2
0.516672  -141.0103002  0.018534  2
0.437502  -131.0103002  0.018534  2
0.000002  -121.0103002  0.018534  1
0.000002  -111.0103002  0.018534  1
0.500002  -151.0103002  0.020582  2
0.518182  -141.0103002  0.020582  2
0.426142  -131.0103002  0.020582  2
0.000002  -121.0103002  0.020582  1
0.000002  -111.0103002  0.020582  1
0.577782  -151.0103002  0.024781  2
0.522222  -141.0103002  0.024781  2
0.311112  -131.0103002  0.024781  2
0.000002  -121.0103002  0.024781  1
0.000002  -111.0103002  0.024781  1
0.470372  -151.0103002  0.024781  2
0.500002  -141.0103002  0.024781  2
0.240742  -131.0103002  0.024781  1
0.000002  -121.0103002  0.024781  1
0.000002  -111.0103002  0.024781  1
0.477782  -151.0103002  0.028877  2
0.484442  -141.0103002  0.028877  2
0.331112  -131.0103002  0.028877  2
0.000002  -121.0103002  0.028877  1
0.000002  -111.0103002  0.028877  1
0.530162  -151.0103002  0.032973  2
0.479372  -141.0103002  0.032973  2
0.312702  -131.0103002  0.032973  2
0.000002  -121.0103002  0.032973  1
0.000002  -111.0103002  0.032973  1
0.493832  -151.0103002  0.032973  2
0.477782  -141.0103002  0.032973  2
0.311112  -131.0103002  0.032973  2
0.000002  -121.0103002  0.032973  1
0.000002  -111.0103002  0.032973  1
0.482832  -151.0103002  0.037069  2
