BW      SF  PS   SNR  BER        RSSI          ToA  L
125000  7   10   -40  0.0442862  -157.0309002  0.0247812  2
125000  7   10   -30  0.0428572  -147.0309002  0.0247812  2
125000  7   10   -20  0.0500002  -137.0309002  0.0247812  2
125000  7   10   -10  0.0057142  -127.0309002  0.0247812  1
125000  7   10   0    0.0000002  -117.0309002  0.0247812  1
125000  7   30   -40  0.0500002  -157.0309002  0.0288772  2
125000  7   30   -30  0.0500002  -147.0309002  0.0288772  2
125000  7   30   -20  0.0433332  -137.0309002  0.0288772  2
125000  7   30   -10  0.0000002  -127.0309002  0.0288772  1
125000  7   30   0    0.0000002  -117.0309002  0.0288772  1
125000  7   50   -40  0.0477142  -157.0309002  0.0329732  2
125000  7   50   -30  0.0502862  -147.0309002  0.0329732  2
125000  7   50   -20  0.0451432  -137.0309002  0.0329732  2
125000  7   50   -10  0.0008572  -127.0309002  0.0329732  1
125000  7   50   0    0.0000002  -117.0309002  0.0329732  1
125000  7   70   -40  0.0493882  -157.0309002  0.0370692  2
125000  7   70   -30  0.0465312  -147.0309002  0.0370692  2
125000  7   70   -20  0.0424492  -137.0309002  0.0370692  2
125000  7   70   -10  0.0022452  -127.0309002  0.0370692  1
125000  7   70   0    0.0000002  -117.0309002  0.0370692  1
125000  7   90   -40  0.0509522  -157.0309002  0.0411652  2
125000  7   90   -30  0.0503172  -147.0309002  0.0411652  2
125000  7   90   -20  0.0484132  -137.0309002  0.0411652  2
125000  7   90   -10  0.0009522  -127.0309002  0.0411652  1
125000  7   90   0    0.0000002  -117.0309002  0.0411652  1
125000  7   110  -40  0.0506492  -157.0309002  0.0452612  2
125000  7   110  -30  0.0475322  -147.0309002  0.0452612  2
125000  7   110  -20  0.0440262  -137.0309002  0.0452612  2
125000  7   110  -10  0.0022082  -127.0309002  0.0452612  1
125000  7   110  0    0.0000002  -117.0309002  0.0452612  1
125000  8   10   -40  0.0475002  -157.0309002  0.0495622  2
125000  8   10   -30  0.0375002  -147.0309002  0.0495622  2
125000  8   10   -20  0.0487502  -137.0309002  0.0495622  2
125000  8   10   -10  0.0000002  -127.0309002  0.0495622  1
125000  8   10   0    0.0000002  -117.0309002  0.0495622  1
125000  8   30   -40  0.0525002  -157.0309002  0.0577542  2
125000  8   30   -30  0.0479172  -147.0309002  0.0577542  2
125000  8   30   -20  0.0383332  -137.0309002  0.0577542  2
125000  8   30   -10  0.0000002  -127.0309002  0.0577542  1
125000  8   30   0    0.0000002  -117.0309002  0.0577542  1
125000  8   50   -40  0.0510002  -157.0309002  0.0577542  2
125000  8   50   -30  0.0517502  -147.0309002  0.0577542  2
125000  8   50   -20  0.0367502  -137.0309002  0.0577542  2
125000  8   50   -10  0.0000002  -127.0309002  0.0577542  1
125000  8   50   0    0.0000002  -117.0309002  0.0577542  1
125000  8   70   -40  0.0466072  -157.0309002  0.0659462  2
125000  8   70   -30  0.0498212  -147.0309002  0.0659462  2
125000  8   70   -20  0.0412502  -137.0309002  0.0659462  2
125000  8   70   -10  0.0000002  -127.0309002  0.0659462  1
125000  8   70   0    0.0000002  -117.0309002  0.0659462  1
125000  8   90   -40  0.0515282  -157.0309002  0.0741382  2
125000  8   90   -30  0.0536112  -147.0309002  0.0741382  2
125000  8   90   -20  0.0405562  -137.0309002  0.0741382  2
125000  8   90   -10  0.0000002  -127.0309002  0.0741382  1
125000  8   90   0    0.0000002  -117.0309002  0.0741382  1
125000  8   110  -40  0.0505682  -157.0309002  0.0823302  2
125000  8   110  -30  0.0485232  -147.0309002  0.0823302  2
125000  8   110  -20  0.0456822  -137.0309002  0.0823302  2
125000  8   110  -10  0.0000002  -127.0309002  0.0823302  1
125000  8   110  0    0.0000002  -117.0309002  0.0823302  1
125000  9   10   -40  0.0433332  -157.0309002  0.0991232  2
125000  9   10   -30  0.0400002  -147.0309002  0.0991232  2
125000  9   10   -20  0.0433332  -137.0309002  0.0991232  2
125000  9   10   -10  0.0000002  -127.0309002  0.0991232  1
125000  9   10   0    0.0000002  -117.0309002  0.0991232  1
125000  9   30   -40  0.0459262  -157.0309002  0.0991232  2
125000  9   30   -30  0.0529632  -147.0309002  0.0991232  2
125000  9   30   -20  0.0329632  -137.0309002  0.0991232  2
125000  9   30   -10  0.0000002  -127.0309002  0.0991232  1
125000  9   30   0    0.0000002  -117.0309002  0.0991232  1
125000  9   50   -40  0.0471112  -157.0309002  0.1155072  2
125000  9   50   -30  0.0495562  -147.0309002  0.1155072  2
125000  9   50   -20  0.0324442  -137.0309002  0.1155072  2
125000  9   50   -10  0.0000002  -127.0309002  0.1155072  1
