BW    ,SF,PS ,SNR,BER      ,RSSI        ,ToA      ,BER,RSSI,ToA,C0  ,C1  ,C2  ,L
125000,7 ,10 ,-40,0.0442862,-157.0309002,0.0247812,63 ,0   ,2  ,0.00,0.00,1.00,2
125000,7 ,10 ,-30,0.0428572,-147.0309002,0.0247812,61 ,21  ,2  ,0.00,0.00,1.00,2
125000,7 ,10 ,-20,0.0500002,-137.0309002,0.0247812,71 ,43  ,2  ,0.00,0.00,1.00,2
125000,7 ,10 ,-10,0.0057142,-127.0309002,0.0247812,8  ,65  ,2  ,0.50,0.50,0.00,1
125000,7 ,10 ,0  ,0.0000002,-117.0309002,0.0247812,0  ,86  ,2  ,0.50,0.50,0.00,1
125000,7 ,30 ,-40,0.0500002,-157.0309002,0.0288772,71 ,0   ,2  ,0.00,0.00,1.00,2
125000,7 ,30 ,-30,0.0500002,-147.0309002,0.0288772,71 ,21  ,2  ,0.00,0.00,1.00,2
125000,7 ,30 ,-20,0.0433332,-137.0309002,0.0288772,61 ,43  ,2  ,0.00,0.00,1.00,2
125000,7 ,30 ,-10,0.0000002,-127.0309002,0.0288772,0  ,65  ,2  ,0.50,0.50,0.00,1
125000,7 ,30 ,0  ,0.0000002,-117.0309002,0.0288772,0  ,86  ,2  ,0.50,0.50,0.00,1
125000,7 ,50 ,-40,0.0477142,-157.0309002,0.0329732,68 ,0   ,3  ,0.00,0.00,1.00,2
125000,7 ,50 ,-30,0.0502862,-147.0309002,0.0329732,71 ,21  ,3  ,0.00,0.00,1.00,2
125000,7 ,50 ,-20,0.0451432,-137.0309002,0.0329732,64 ,43  ,3  ,0.00,0.00,1.00,2
125000,7 ,50 ,-10,0.0008572,-127.0309002,0.0329732,1  ,65  ,3  ,0.50,0.50,0.00,1
125000,7 ,50 ,0  ,0.0000002,-117.0309002,0.0329732,0  ,86  ,3  ,0.50,0.50,0.00,1
125000,7 ,70 ,-40,0.0493882,-157.0309002,0.0370692,70 ,0   ,3  ,0.00,0.00,1.00,2
125000,7 ,70 ,-30,0.0465312,-147.0309002,0.0370692,66 ,21  ,3  ,0.00,0.00,1.00,2
125000,7 ,70 ,-20,0.0424492,-137.0309002,0.0370692,60 ,43  ,3  ,0.00,0.00,1.00,2
125000,7 ,70 ,-10,0.0022452,-127.0309002,0.0370692,3  ,65  ,3  ,0.50,0.50,0.00,1
125000,7 ,70 ,0  ,0.0000002,-117.0309002,0.0370692,0  ,86  ,3  ,0.50,0.50,0.00,1
125000,7 ,90 ,-40,0.0509522,-157.0309002,0.0411652,72 ,0   ,3  ,0.00,0.00,1.00,2
125000,7 ,90 ,-30,0.0503172,-147.0309002,0.0411652,71 ,21  ,3  ,0.00,0.00,1.00,2
125000,7 ,90 ,-20,0.0484132,-137.0309002,0.0411652,69 ,43  ,3  ,0.00,0.00,1.00,2
125000,7 ,90 ,-10,0.0009522,-127.0309002,0.0411652,1  ,65  ,3  ,0.50,0.50,0.00,1
125000,7 ,90 ,0  ,0.0000002,-117.0309002,0.0411652,0  ,86  ,3  ,0.50,0.50,0.00,1
125000,7 ,110,-40,0.0506492,-157.0309002,0.0452612,72 ,0   ,4  ,0.00,0.00,1.00,2
125000,7 ,110,-30,0.0475322,-147.0309002,0.0452612,67 ,21  ,4  ,0.00,0.00,1.00,2
125000,7 ,110,-20,0.0440262,-137.0309002,0.0452612,62 ,43  ,4  ,0.00,0.00,1.00,2
125000,7 ,110,-10,0.0022082,-127.0309002,0.0452612,3  ,65  ,4  ,0.50,0.50,0.00,1
125000,7 ,110,0  ,0.0000002,-117.0309002,0.0452612,0  ,86  ,4  ,0.50,0.50,0.00,1
125000,8 ,10 ,-40,0.0475002,-157.0309002,0.0495622,67 ,0   ,4  ,0.00,0.00,1.00,2
125000,8 ,10 ,-30,0.0375002,-147.0309002,0.0495622,53 ,21  ,4  ,0.00,0.00,1.00,2
125000,8 ,10 ,-20,0.0487502,-137.0309002,0.0495622,69 ,43  ,4  ,0.00,0.00,1.00,2
