BER,RSSI,ToA
63,0 ,2
61,21,2
71,43,2
8 ,65,2
0 ,86,2
71,0 ,2
71,21,2
61,43,2
0 ,65,2
0 ,86,2
68,0 ,3
71,21,3
64,43,3
1 ,65,3
0 ,86,3
70,0 ,3
66,21,3
60,43,3
3 ,65,3
0 ,86,3
72,0 ,3
71,21,3
69,43,3
1 ,65,3
0 ,86,3
72,0 ,4
67,21,4
62,43,4
3 ,65,4
0 ,86,4
67,0 ,4
53,21,4
69,43,4
0 ,65,4
0 ,86,4
75,0 ,5
68,21,5
54,43,5
0 ,65,5
0 ,86,5
72,0 ,5
73,21,5
52,43,5
0 ,65,5
0 ,86,5
66,0 ,6
71,21,6
58,43,6
0 ,65,6
0 ,86,6
73,0 ,6
76,21,6
57,43,6
0 ,65,6
0 ,86,6
72,0 ,7
69,21,7
65,43,7
0 ,65,7
0 ,86,7
61,0 ,9
57,21,9
61,43,9
0 ,65,9
0 ,86,9
65,0 ,9
75,21,9
47,43,9
0 ,65,9
0 ,86,9
67,0 ,10
70,21,10
46,43,10
0 ,65,10
0 ,86,10
66,0 ,12
68,21,12
39,43,12
0 ,65,12
0 ,86,12
73,0 ,12
69,21,12
40,43,12
0 ,65,12
0 ,86,12
72,0 ,13
71,21,13
42,43,13
0 ,65,13
0 ,86,13
70,0 ,15
74,21,15
14,43,15
0 ,65,15
0 ,86,15
68,0 ,18
64,21,18
10,43,18
0 ,65,18
0 ,86,18
70,0 ,21
66,21,21
20,43,21
0 ,65,21
0 ,86,21
70,0 ,21
68,21,21
17,43,21
0 ,65,21
0 ,86,21
69,0 ,24
67,21,24
15,43,24
0 ,65,24
0 ,86,24
74,0 ,27
76,21,27
20,43,27
0 ,65,27
0 ,86,27
71,0 ,31
74,21,31
0 ,43,31
0 ,65,31
0 ,86,31
73,0 ,37
64,21,37
0 ,43,37
0 ,65,37
0 ,86,37
70,0 ,37
66,21,37
11,43,37
0 ,65,37
0 ,86,37
74,0 ,43
68,21,43
0 ,43,43
0 ,65,43
0 ,86,43
73,0 ,49
67,21,49
2 ,43,49
0 ,65,49
0 ,86,49
69,0 ,49
68,21,49
7 ,43,49
0 ,65,49
0 ,86,49
65,0 ,62
64,21,62
0 ,43,62
0 ,65,62
0 ,86,62
73,0 ,74
65,21,74
0 ,43,74
0 ,65,74
0 ,86,74
68,0 ,74
66,21,74
0 ,43,74
0 ,65,74
0 ,86,74
72,0 ,87
60,21,87
4 ,43,87
0 ,65,87
0 ,86,87
70,0 ,87
57,21,87
0 ,43,87
0 ,65,87
0 ,86,87
69,0 ,99
61,21,99
0 ,43,99
