BER     ,RSSI        ,ToA
0.442862,-157.0309002,0.024781
0.428572,-147.0309002,0.024781
0.500002,-137.0309002,0.024781
0.057142,-127.0309002,0.024781
0.000002,-117.0309002,0.024781
0.500002,-157.0309002,0.028877
0.500002,-147.0309002,0.028877
0.433332,-137.0309002,0.028877
0.000002,-127.0309002,0.028877
0.000002,-117.0309002,0.028877
0.477142,-157.0309002,0.032973
0.502862,-147.0309002,0.032973
0.451432,-137.0309002,0.032973
0.008572,-127.0309002,0.032973
0.000002,-117.0309002,0.032973
0.493882,-157.0309002,0.037069
0.465312,-147.0309002,0.037069
0.424492,-137.0309002,0.037069
0.022452,-127.0309002,0.037069
0.000002,-117.0309002,0.037069
0.509522,-157.0309002,0.041165
0.503172,-147.0309002,0.041165
0.484132,-137.0309002,0.041165
0.009522,-127.0309002,0.041165
0.000002,-117.0309002,0.041165
0.506492,-157.0309002,0.045261
0.475322,-147.0309002,0.045261
0.440262,-137.0309002,0.045261
0.022082,-127.0309002,0.045261
0.000002,-117.0309002,0.045261
0.475002,-157.0309002,0.049562
0.375002,-147.0309002,0.049562
0.487502,-137.0309002,0.049562
0.000002,-127.0309002,0.049562
0.000002,-117.0309002,0.049562
0.525002,-157.0309002,0.057754
0.479172,-147.0309002,0.057754
0.383332,-137.0309002,0.057754
0.000002,-127.0309002,0.057754
0.000002,-117.0309002,0.057754
0.510002,-157.0309002,0.057754
0.517502,-147.0309002,0.057754
0.367502,-137.0309002,0.057754
0.000002,-127.0309002,0.057754
0.000002,-117.0309002,0.057754
0.466072,-157.0309002,0.065946
0.498212,-147.0309002,0.065946
0.412502,-137.0309002,0.065946
0.000002,-127.0309002,0.065946
0.000002,-117.0309002,0.065946
0.515282,-157.0309002,0.074138
0.536112,-147.0309002,0.074138
0.405562,-137.0309002,0.074138
0.000002,-127.0309002,0.074138
0.000002,-117.0309002,0.074138
0.505682,-157.0309002,0.082330
0.485232,-147.0309002,0.082330
0.456822,-137.0309002,0.082330
0.000002,-127.0309002,0.082330
0.000002,-117.0309002,0.082330
0.433332,-157.0309002,0.099123
0.400002,-147.0309002,0.099123
0.433332,-137.0309002,0.099123
0.000002,-127.0309002,0.099123
0.000002,-117.0309002,0.099123
0.459262,-157.0309002,0.099123
0.529632,-147.0309002,0.099123
0.329632,-137.0309002,0.099123
0.000002,-127.0309002,0.099123
0.000002,-117.0309002,0.099123
0.471112,-157.0309002,0.115507
0.495562,-147.0309002,0.115507
0.324442,-137.0309002,0.115507
0.000002,-127.0309002,0.115507
0.000002,-117.0309002,0.115507
0.463492,-157.0309002,0.131891
0.482542,-147.0309002,0.131891
0.276192,-137.0309002,0.131891
0.000002,-127.0309002,0.131891
0.000002,-117.0309002,0.131891
0.512352,-157.0309002,0.131891
0.486422,-147.0309002,0.131891
0.286422,-137.0309002,0.131891
0.000002,-127.0309002,0.131891
0.000002,-117.0309002,0.131891
0.505052,-157.0309002,0.148275
0.498992,-147.0309002,0.148275
0.297982,-137.0309002,0.148275
0.000002,-127.0309002,0.148275
0.000002,-117.0309002,0.148275
0.490002,-157.0309002,0.165478
0.520002,-147.0309002,0.165478
0.100002,-137.0309002,0.165478
0.000002,-127.0309002,0.165478
0.000002,-117.0309002,0.165478
0.480002,-157.0309002,0.198246
0.453332,-147.0309002,0.198246
0.076672,-137.0309002,0.198246
0.000002,-127.0309002,0.198246
0.000002,-117.0309002,0.198246
0.494002,-157.0309002,0.231014
0.464002,-147.0309002,0.231014
0.146002,-137.0309002,0.231014
0.000002,-127.0309002,0.231014
0.000002,-117.0309002,0.231014
0.495712,-157.0309002,0.231014
0.482862,-147.0309002,0.231014
0.121432,-137.0309002,0.231014
0.000002,-127.0309002,0.231014
