type	latitude	longitude	altitude (m)	name
W	48.416555522	-4.968910217	0.0	Px1y1
W	48.416555522	-4.967708588	0.0	Px2y1
W	48.416555522	-4.966506958	0.0	Px3y1
W	48.416555522	-4.965305328	0.0	Px4y1
W	48.416555522	-4.964103699	0.0	Px5y1
W	48.416555522	-4.962902069	0.0	Px6y1
W	48.416555522	-4.961700439	0.0	Px7y1
W	48.416555522	-4.960498810	0.0	Px8y1
W	48.416555522	-4.959297180	0.0	Px9y1
W	48.416555522	-4.958095551	0.0	Px10y1
W	48.416555522	-4.956893921	0.0	Px11y1
W	48.416555522	-4.955692291	0.0	Px12y1
W	48.416555522	-4.954490662	0.0	Px13y1
W	48.416555522	-4.953289032	0.0	Px14y1
W	48.416555522	-4.952087402	0.0	Px15y1
W	48.416555522	-4.950885773	0.0	Px16y1
W	48.416555522	-4.949684143	0.0	Px17y1
W	48.416555522	-4.948482513	0.0	Px18y1
W	48.416555522	-4.947280884	0.0	Px19y1
W	48.416555522	-4.946079254	0.0	Px20y1
W	48.416555522	-4.944877625	0.0	Px21y1
W	48.416555522	-4.943675995	0.0	Px22y1
W	48.416555522	-4.942474365	0.0	Px23y1
W	48.416555522	-4.941272736	0.0	Px24y1
W	48.416555522	-4.940071106	0.0	Px25y1
W	48.416555522	-4.938869476	0.0	Px26y1
W	48.416555522	-4.937667847	0.0	Px27y1
W	48.416555522	-4.936466217	0.0	Px28y1
W	48.416555522	-4.935264587	0.0	Px29y1
W	48.416555522	-4.934062958	0.0	Px30y1
W	48.416555522	-4.932861328	0.0	Px31y1
W	48.416555522	-4.931659698	0.0	Px32y1
W	48.416555522	-4.930458069	0.0	Px33y1
W	48.416555522	-4.929256439	0.0	Px34y1
W	48.416555522	-4.928054810	0.0	Px35y1
W	48.416555522	-4.926853180	0.0	Px36y1
W	48.416555522	-4.925651550	0.0	Px37y1
W	48.416555522	-4.924449921	0.0	Px38y1
W	48.416555522	-4.923248291	0.0	Px39y1
W	48.416555522	-4.922046661	0.0	Px40y1
W	48.416555522	-4.920845032	0.0	Px41y1
W	48.416555522	-4.919643402	0.0	Px42y1
W	48.416555522	-4.918441772	0.0	Px43y1
W	48.416555522	-4.917240143	0.0	Px44y1
W	48.416555522	-4.916038513	0.0	Px45y1
W	48.416555522	-4.914836884	0.0	Px46y1
W	48.416555522	-4.913635254	0.0	Px47y1
W	48.416555522	-4.912433624	0.0	Px48y1
W	48.416555522	-4.911231995	0.0	Px49y1
W	48.416555522	-4.910030365	0.0	Px50y1
W	48.416555522	-4.908828735	0.0	Px51y1
W	48.416555522	-4.907627106	0.0	Px52y1
W	48.416555522	-4.906425476	0.0	Px53y1
W	48.416555522	-4.905223846	0.0	Px54y1
W	48.416555522	-4.904022217	0.0	Px55y1
W	48.416555522	-4.902820587	0.0	Px56y1
W	48.416555522	-4.901618958	0.0	Px57y1
W	48.416555522	-4.900417328	0.0	Px58y1
W	48.416555522	-4.899215698	0.0	Px59y1
W	48.416555522	-4.898014069	0.0	Px60y1
W	48.416555522	-4.896812439	0.0	Px61y1
W	48.416555522	-4.895610809	0.0	Px62y1
W	48.416555522	-4.894409180	0.0	Px63y1
W	48.416555522	-4.893207550	0.0	Px64y1
W	48.416555522	-4.892005920	0.0	Px65y1
W	48.416555522	-4.890804291	0.0	Px66y1
W	48.416555522	-4.889602661	0.0	Px67y1
W	48.416555522	-4.888401031	0.0	Px68y1
W	48.416555522	-4.887199402	0.0	Px69y1
W	48.416555522	-4.885997772	0.0	Px70y1
W	48.416555522	-4.884796143	0.0	Px71y1
W	48.416555522	-4.883594513	0.0	Px72y1
W	48.416555522	-4.882392883	0.0	Px73y1
W	48.416555522	-4.881191254	0.0	Px74y1
W	48.416555522	-4.879989624	0.0	Px75y1
W	48.416555522	-4.878787994	0.0	Px76y1
W	48.416555522	-4.877586365	0.0	Px77y1
W	48.416555522	-4.876384735	0.0	Px78y1
W	48.416555522	-4.875183105	0.0	Px79y1
W	48.416555522	-4.873981476	0.0	Px80y1
W	48.416555522	-4.872779846	0.0	Px81y1
W	48.416555522	-4.871578217	0.0	Px82y1
W	48.416555522	-4.870376587	0.0	Px83y1
W	48.416555522	-4.869174957	0.0	Px84y1
W	48.416555522	-4.867973328	0.0	Px85y1
W	48.416555522	-4.866771698	0.0	Px86y1
W	48.416555522	-4.865570068	0.0	Px87y1
W	48.416555522	-4.864368439	0.0	Px88y1
W	48.416555522	-4.863166809	0.0	Px89y1
W	48.416555522	-4.861965179	0.0	Px90y1
W	48.416555522	-4.860763550	0.0	Px91y1
W	48.416555522	-4.859561920	0.0	Px92y1
W	48.416555522	-4.858360291	0.0	Px93y1
W	48.416555522	-4.857158661	0.0	Px94y1
W	48.416555522	-4.855957031	0.0	Px95y1
W	48.416555522	-4.854755402	0.0	Px96y1
W	48.416555522	-4.853553772	0.0	Px97y1
W	48.416555522	-4.852352142	0.0	Px98y1
W	48.416555522	-4.851150513	0.0	Px99y1
W	48.416555522	-4.849948883	0.0	Px100y1
W	48.416555522	-4.848747253	0.0	Px101y1
W	48.416555522	-4.847545624	0.0	Px102y1
W	48.416555522	-4.846343994	0.0	Px103y1
W	48.416555522	-4.845142365	0.0	Px104y1
W	48.416555522	-4.843940735	0.0	Px105y1
W	48.416555522	-4.842739105	0.0	Px106y1
W	48.416555522	-4.841537476	0.0	Px107y1
W	48.416555522	-4.840335846	0.0	Px108y1
W	48.416555522	-4.839134216	0.0	Px109y1
W	48.416555522	-4.837932587	0.0	Px110y1
W	48.416555522	-4.836730957	0.0	Px111y1
W	48.415757982	-4.968910217	0.0	Px1y2
W	48.415757982	-4.967708588	0.0	Px2y2
W	48.415757982	-4.966506958	0.0	Px3y2
W	48.415757982	-4.965305328	0.0	Px4y2
W	48.415757982	-4.964103699	0.0	Px5y2
W	48.415757982	-4.962902069	0.0	Px6y2
W	48.415757982	-4.961700439	0.0	Px7y2
W	48.415757982	-4.960498810	0.0	Px8y2
W	48.415757982	-4.959297180	0.0	Px9y2
W	48.415757982	-4.958095551	0.0	Px10y2
W	48.415757982	-4.956893921	0.0	Px11y2
W	48.415757982	-4.955692291	0.0	Px12y2
W	48.415757982	-4.954490662	0.0	Px13y2
W	48.415757982	-4.953289032	0.0	Px14y2
W	48.415757982	-4.952087402	0.0	Px15y2
W	48.415757982	-4.950885773	0.0	Px16y2
W	48.415757982	-4.949684143	0.0	Px17y2
W	48.415757982	-4.948482513	0.0	Px18y2
W	48.415757982	-4.947280884	0.0	Px19y2
W	48.415757982	-4.946079254	0.0	Px20y2
W	48.415757982	-4.944877625	0.0	Px21y2
W	48.415757982	-4.943675995	0.0	Px22y2
W	48.415757982	-4.942474365	0.0	Px23y2
W	48.415757982	-4.941272736	0.0	Px24y2
W	48.415757982	-4.940071106	0.0	Px25y2
W	48.415757982	-4.938869476	0.0	Px26y2
W	48.415757982	-4.937667847	0.0	Px27y2
W	48.415757982	-4.936466217	0.0	Px28y2
W	48.415757982	-4.935264587	0.0	Px29y2
W	48.415757982	-4.934062958	0.0	Px30y2
W	48.415757982	-4.932861328	0.0	Px31y2
W	48.415757982	-4.931659698	0.0	Px32y2
W	48.415757982	-4.930458069	0.0	Px33y2
W	48.415757982	-4.929256439	0.0	Px34y2
W	48.415757982	-4.928054810	0.0	Px35y2
W	48.415757982	-4.926853180	0.0	Px36y2
W	48.415757982	-4.925651550	0.0	Px37y2
W	48.415757982	-4.924449921	0.0	Px38y2
W	48.415757982	-4.923248291	0.0	Px39y2
W	48.415757982	-4.922046661	0.0	Px40y2
W	48.415757982	-4.920845032	0.0	Px41y2
W	48.415757982	-4.919643402	0.0	Px42y2
W	48.415757982	-4.918441772	0.0	Px43y2
W	48.415757982	-4.917240143	0.0	Px44y2
W	48.415757982	-4.916038513	0.0	Px45y2
W	48.415757982	-4.914836884	0.0	Px46y2
W	48.415757982	-4.913635254	0.0	Px47y2
W	48.415757982	-4.912433624	0.0	Px48y2
W	48.415757982	-4.911231995	0.0	Px49y2
W	48.415757982	-4.910030365	0.0	Px50y2
W	48.415757982	-4.908828735	0.0	Px51y2
W	48.415757982	-4.907627106	0.0	Px52y2
W	48.415757982	-4.906425476	0.0	Px53y2
W	48.415757982	-4.905223846	0.0	Px54y2
W	48.415757982	-4.904022217	0.0	Px55y2
W	48.415757982	-4.902820587	0.0	Px56y2
W	48.415757982	-4.901618958	0.0	Px57y2
W	48.415757982	-4.900417328	0.0	Px58y2
W	48.415757982	-4.899215698	0.0	Px59y2
W	48.415757982	-4.898014069	0.0	Px60y2
W	48.415757982	-4.896812439	0.0	Px61y2
W	48.415757982	-4.895610809	0.0	Px62y2
W	48.415757982	-4.894409180	0.0	Px63y2
W	48.415757982	-4.893207550	0.0	Px64y2
W	48.415757982	-4.892005920	0.0	Px65y2
W	48.415757982	-4.890804291	0.0	Px66y2
W	48.415757982	-4.889602661	0.0	Px67y2
W	48.415757982	-4.888401031	0.0	Px68y2
W	48.415757982	-4.887199402	0.0	Px69y2
W	48.415757982	-4.885997772	0.0	Px70y2
W	48.415757982	-4.884796143	0.0	Px71y2
W	48.415757982	-4.883594513	0.0	Px72y2
W	48.415757982	-4.882392883	0.0	Px73y2
W	48.415757982	-4.881191254	0.0	Px74y2
W	48.415757982	-4.879989624	0.0	Px75y2
W	48.415757982	-4.878787994	0.0	Px76y2
W	48.415757982	-4.877586365	0.0	Px77y2
W	48.415757982	-4.876384735	0.0	Px78y2
W	48.415757982	-4.875183105	0.0	Px79y2
W	48.415757982	-4.873981476	0.0	Px80y2
W	48.415757982	-4.872779846	0.0	Px81y2
W	48.415757982	-4.871578217	0.0	Px82y2
W	48.415757982	-4.870376587	0.0	Px83y2
W	48.415757982	-4.869174957	0.0	Px84y2
W	48.415757982	-4.867973328	0.0	Px85y2
W	48.415757982	-4.866771698	0.0	Px86y2
W	48.415757982	-4.865570068	0.0	Px87y2
W	48.415757982	-4.864368439	0.0	Px88y2
W	48.415757982	-4.863166809	0.0	Px89y2
W	48.415757982	-4.861965179	0.0	Px90y2
W	48.415757982	-4.860763550	0.0	Px91y2
W	48.415757982	-4.859561920	0.0	Px92y2
W	48.415757982	-4.858360291	0.0	Px93y2
W	48.415757982	-4.857158661	0.0	Px94y2
W	48.415757982	-4.855957031	0.0	Px95y2
W	48.415757982	-4.854755402	0.0	Px96y2
W	48.415757982	-4.853553772	0.0	Px97y2
W	48.415757982	-4.852352142	0.0	Px98y2
W	48.415757982	-4.851150513	0.0	Px99y2
W	48.415757982	-4.849948883	0.0	Px100y2
W	48.415757982	-4.848747253	0.0	Px101y2
W	48.415757982	-4.847545624	0.0	Px102y2
W	48.415757982	-4.846343994	0.0	Px103y2
W	48.415757982	-4.845142365	0.0	Px104y2
W	48.415757982	-4.843940735	0.0	Px105y2
W	48.415757982	-4.842739105	0.0	Px106y2
W	48.415757982	-4.841537476	0.0	Px107y2
W	48.415757982	-4.840335846	0.0	Px108y2
W	48.415757982	-4.839134216	0.0	Px109y2
W	48.415757982	-4.837932587	0.0	Px110y2
W	48.415757982	-4.836730957	0.0	Px111y2
W	48.414960430	-4.968910217	0.0	Px1y3
W	48.414960430	-4.967708588	0.0	Px2y3
W	48.414960430	-4.966506958	0.0	Px3y3
W	48.414960430	-4.965305328	0.0	Px4y3
W	48.414960430	-4.964103699	0.0	Px5y3
W	48.414960430	-4.962902069	0.0	Px6y3
W	48.414960430	-4.961700439	0.0	Px7y3
W	48.414960430	-4.960498810	0.0	Px8y3
