type	latitude	longitude	altitude (m)	name
W	48.891809563	-5.432739258	0.0	Px1y1
W	48.891809563	-5.364074707	0.0	Px2y1
W	48.891809563	-5.295410156	0.0	Px3y1
W	48.891809563	-5.226745605	0.0	Px4y1
W	48.891809563	-5.158081055	0.0	Px5y1
W	48.891809563	-5.089416504	0.0	Px6y1
W	48.891809563	-5.020751953	0.0	Px7y1
W	48.891809563	-4.952087402	0.0	Px8y1
W	48.891809563	-4.883422852	0.0	Px9y1
W	48.891809563	-4.814758301	0.0	Px10y1
W	48.891809563	-4.746093750	0.0	Px11y1
W	48.891809563	-4.677429199	0.0	Px12y1
W	48.891809563	-4.608764648	0.0	Px13y1
W	48.891809563	-4.540100098	0.0	Px14y1
W	48.891809563	-4.471435547	0.0	Px15y1
W	48.891809563	-4.402770996	0.0	Px16y1
W	48.891809563	-4.334106445	0.0	Px17y1
W	48.891809563	-4.265441895	0.0	Px18y1
W	48.891809563	-4.196777344	0.0	Px19y1
W	48.891809563	-4.128112793	0.0	Px20y1
W	48.891809563	-4.059448242	0.0	Px21y1
W	48.891809563	-3.990783691	0.0	Px22y1
W	48.891809563	-3.922119141	0.0	Px23y1
W	48.891809563	-3.853454590	0.0	Px24y1
W	48.891809563	-3.784790039	0.0	Px25y1
W	48.891809563	-3.716125488	0.0	Px26y1
W	48.891809563	-3.647460938	0.0	Px27y1
W	48.891809563	-3.578796387	0.0	Px28y1
W	48.891809563	-3.510131836	0.0	Px29y1
W	48.891809563	-3.441467285	0.0	Px30y1
W	48.891809563	-3.372802734	0.0	Px31y1
W	48.846643407	-5.432739258	0.0	Px1y2
W	48.846643407	-5.364074707	0.0	Px2y2
W	48.846643407	-5.295410156	0.0	Px3y2
W	48.846643407	-5.226745605	0.0	Px4y2
W	48.846643407	-5.158081055	0.0	Px5y2
W	48.846643407	-5.089416504	0.0	Px6y2
W	48.846643407	-5.020751953	0.0	Px7y2
W	48.846643407	-4.952087402	0.0	Px8y2
W	48.846643407	-4.883422852	0.0	Px9y2
W	48.846643407	-4.814758301	0.0	Px10y2
W	48.846643407	-4.746093750	0.0	Px11y2
W	48.846643407	-4.677429199	0.0	Px12y2
W	48.846643407	-4.608764648	0.0	Px13y2
W	48.846643407	-4.540100098	0.0	Px14y2
W	48.846643407	-4.471435547	0.0	Px15y2
W	48.846643407	-4.402770996	0.0	Px16y2
W	48.846643407	-4.334106445	0.0	Px17y2
W	48.846643407	-4.265441895	0.0	Px18y2
W	48.846643407	-4.196777344	0.0	Px19y2
W	48.846643407	-4.128112793	0.0	Px20y2
W	48.846643407	-4.059448242	0.0	Px21y2
W	48.846643407	-3.990783691	0.0	Px22y2
W	48.846643407	-3.922119141	0.0	Px23y2
W	48.846643407	-3.853454590	0.0	Px24y2
W	48.846643407	-3.784790039	0.0	Px25y2
W	48.846643407	-3.716125488	0.0	Px26y2
W	48.846643407	-3.647460938	0.0	Px27y2
W	48.846643407	-3.578796387	0.0	Px28y2
