This is Dataplot data file     CONCRETE.DAT
Crushing strength of concrete as a function of the amount of sand
        in the mix
Question: Is there a quadratic relationship?

Source--Graybill and Iyer (1994). Regression Analysis: Concepts and 
        Applications.  Duxbury Press.
        Page 464 (Chapter 6)
Number of observations = 11
Number of variables per line image = 2
Order of variables on a line image--
   1. Y  = Response Variable = Strength (in tons)
   2. X  = Independent Variable = Amount of sand (in cubic inches)








To read this file into Dataplot--
   SKIP 25
   READ CONCRETE.DAT Y X
------------------------
  2.2   1
  3.7   5
  5.3  10
  5.8  15
  6.4  20
  7.1  25
  8.2  30
  7.9  35
  6.2  40
  4.8  50
  3.9  60
