type	latitude	longitude	altitude (m)	name
W	48.458124203	-4.569969177	88.0	Px1y1
W	48.458124203	-4.561386108	95.7	Px2y1
W	48.458124203	-4.552803040	90.0	Px3y1
W	48.458124203	-4.544219971	87.2	Px4y1
W	48.458124203	-4.535636902	84.7	Px5y1
W	48.458124203	-4.527053833	88.7	Px6y1
W	48.458124203	-4.518470764	94.8	Px7y1
W	48.458124203	-4.509887695	93.6	Px8y1
W	48.458124203	-4.501304626	93.7	Px9y1
W	48.458124203	-4.492721558	95.8	Px10y1
W	48.458124203	-4.484138489	84.2	Px11y1
W	48.458124203	-4.475555420	89.2	Px12y1
W	48.458124203	-4.466972351	85.9	Px13y1
W	48.458124203	-4.458389282	83.2	Px14y1
W	48.458124203	-4.449806213	86.0	Px15y1
W	48.458124203	-4.441223145	91.5	Px16y1
W	48.458124203	-4.432640076	89.8	Px17y1
W	48.458124203	-4.424057007	88.5	Px18y1
W	48.458124203	-4.415473938	88.6	Px19y1
W	48.458124203	-4.406890869	92.8	Px20y1
W	48.458124203	-4.398307800	90.4	Px21y1
W	48.458124203	-4.389724731	93.2	Px22y1
W	48.458124203	-4.381141663	93.2	Px23y1
W	48.458124203	-4.372558594	102.8	Px24y1
W	48.458124203	-4.363975525	117.7	Px25y1
W	48.458124203	-4.355392456	119.9	Px26y1
W	48.458124203	-4.346809387	121.5	Px27y1
W	48.458124203	-4.338226318	126.1	Px28y1
W	48.458124203	-4.329643250	119.1	Px29y1
W	48.458124203	-4.321060181	118.7	Px30y1
W	48.458124203	-4.312477112	100.7	Px31y1
W	48.452431874	-4.569969177	90.1	Px1y2
W	48.452431874	-4.561386108	91.0	Px2y2
W	48.452431874	-4.552803040	88.3	Px3y2
W	48.452431874	-4.544219971	91.1	Px4y2
W	48.452431874	-4.535636902	89.3	Px5y2
W	48.452431874	-4.527053833	81.0	Px6y2
W	48.452431874	-4.518470764	88.4	Px7y2
W	48.452431874	-4.509887695	92.7	Px8y2
W	48.452431874	-4.501304626	93.9	Px9y2
W	48.452431874	-4.492721558	98.8	Px10y2
W	48.452431874	-4.484138489	87.1	Px11y2
W	48.452431874	-4.475555420	86.0	Px12y2
W	48.452431874	-4.466972351	80.5	Px13y2
W	48.452431874	-4.458389282	83.7	Px14y2
W	48.452431874	-4.449806213	89.8	Px15y2
W	48.452431874	-4.441223145	86.1	Px16y2
W	48.452431874	-4.432640076	84.5	Px17y2
W	48.452431874	-4.424057007	91.5	Px18y2
W	48.452431874	-4.415473938	91.7	Px19y2
W	48.452431874	-4.406890869	90.3	Px20y2
W	48.452431874	-4.398307800	90.9	Px21y2
W	48.452431874	-4.389724731	84.3	Px22y2
W	48.452431874	-4.381141663	99.4	Px23y2
W	48.452431874	-4.372558594	94.0	Px24y2
W	48.452431874	-4.363975525	115.8	Px25y2
W	48.452431874	-4.355392456	120.8	Px26y2
W	48.452431874	-4.346809387	120.1	Px27y2
W	48.452431874	-4.338226318	112.8	Px28y2
W	48.452431874	-4.329643250	123.2	Px29y2
W	48.452431874	-4.321060181	124.5	Px30y2
W	48.452431874	-4.312477112	88.9	Px31y2
W	48.446738906	-4.569969177	87.3	Px1y3
W	48.446738906	-4.561386108	90.3	Px2y3
W	48.446738906	-4.552803040	98.3	Px3y3
W	48.446738906	-4.544219971	89.0	Px4y3
W	48.446738906	-4.535636902	87.5	Px5y3
W	48.446738906	-4.527053833	86.3	Px6y3
W	48.446738906	-4.518470764	88.1	Px7y3
W	48.446738906	-4.509887695	84.4	Px8y3
W	48.446738906	-4.501304626	87.8	Px9y3
W	48.446738906	-4.492721558	83.0	Px10y3
W	48.446738906	-4.484138489	75.0	Px11y3
W	48.446738906	-4.475555420	77.3	Px12y3
W	48.446738906	-4.466972351	72.7	Px13y3
W	48.446738906	-4.458389282	75.8	Px14y3
W	48.446738906	-4.449806213	76.3	Px15y3
W	48.446738906	-4.441223145	82.4	Px16y3
W	48.446738906	-4.432640076	86.6	Px17y3
W	48.446738906	-4.424057007	85.2	Px18y3
W	48.446738906	-4.415473938	96.0	Px19y3
W	48.446738906	-4.406890869	92.7	Px20y3
W	48.446738906	-4.398307800	90.3	Px21y3
W	48.446738906	-4.389724731	78.0	Px22y3
W	48.446738906	-4.381141663	89.3	Px23y3
W	48.446738906	-4.372558594	85.1	Px24y3
W	48.446738906	-4.363975525	80.6	Px25y3
W	48.446738906	-4.355392456	97.3	Px26y3
W	48.446738906	-4.346809387	95.0	Px27y3
W	48.446738906	-4.338226318	104.1	Px28y3
W	48.446738906	-4.329643250	107.5	Px29y3
W	48.446738906	-4.321060181	91.8	Px30y3
W	48.446738906	-4.312477112	67.2	Px31y3
W	48.441045300	-4.569969177	88.8	Px1y4
W	48.441045300	-4.561386108	91.2	Px2y4
W	48.441045300	-4.552803040	87.5	Px3y4
W	48.441045300	-4.544219971	87.0	Px4y4
W	48.441045300	-4.535636902	83.9	Px5y4
W	48.441045300	-4.527053833	82.0	Px6y4
W	48.441045300	-4.518470764	81.8	Px7y4
W	48.441045300	-4.509887695	76.2	Px8y4
W	48.441045300	-4.501304626	75.0	Px9y4
W	48.441045300	-4.492721558	78.8	Px10y4
W	48.441045300	-4.484138489	59.5	Px11y4
W	48.441045300	-4.475555420	79.2	Px12y4
W	48.441045300	-4.466972351	74.1	Px13y4
W	48.441045300	-4.458389282	85.0	Px14y4
W	48.441045300	-4.449806213	85.8	Px15y4
W	48.441045300	-4.441223145	86.6	Px16y4
W	48.441045300	-4.432640076	94.2	Px17y4
W	48.441045300	-4.424057007	95.0	Px18y4
W	48.441045300	-4.415473938	91.2	Px19y4
W	48.441045300	-4.406890869	91.8	Px20y4
W	48.441045300	-4.398307800	87.4	Px21y4
W	48.441045300	-4.389724731	86.5	Px22y4
W	48.441045300	-4.381141663	84.9	Px23y4
W	48.441045300	-4.372558594	66.1	Px24y4
W	48.441045300	-4.363975525	81.2	Px25y4
W	48.441045300	-4.355392456	89.9	Px26y4
W	48.441045300	-4.346809387	86.3	Px27y4
W	48.441045300	-4.338226318	88.4	Px28y4
W	48.441045300	-4.329643250	94.5	Px29y4
W	48.441045300	-4.321060181	107.5	Px30y4
W	48.441045300	-4.312477112	96.4	Px31y4
W	48.435351056	-4.569969177	89.3	Px1y5
W	48.435351056	-4.561386108	91.3	Px2y5
W	48.435351056	-4.552803040	90.0	Px3y5
W	48.435351056	-4.544219971	83.9	Px4y5
W	48.435351056	-4.535636902	84.0	Px5y5
W	48.435351056	-4.527053833	78.3	Px6y5
W	48.435351056	-4.518470764	80.0	Px7y5
W	48.435351056	-4.509887695	71.5	Px8y5
W	48.435351056	-4.501304626	63.4	Px9y5
W	48.435351056	-4.492721558	81.8	Px10y5
W	48.435351056	-4.484138489	69.1	Px11y5
W	48.435351056	-4.475555420	72.7	Px12y5
W	48.435351056	-4.466972351	83.6	Px13y5
W	48.435351056	-4.458389282	81.9	Px14y5
W	48.435351056	-4.449806213	88.1	Px15y5
W	48.435351056	-4.441223145	96.5	Px16y5
W	48.435351056	-4.432640076	88.4	Px17y5
W	48.435351056	-4.424057007	88.9	Px18y5
W	48.435351056	-4.415473938	89.3	Px19y5
W	48.435351056	-4.406890869	96.8	Px20y5
W	48.435351056	-4.398307800	89.7	Px21y5
W	48.435351056	-4.389724731	72.5	Px22y5
W	48.435351056	-4.381141663	51.8	Px23y5
W	48.435351056	-4.372558594	58.0	Px24y5
